Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase
4.9,3.2,1
2.3,8.1,1
1.1,4.3,1
8.1,3.7,1
2.5,2.2,1
1.2,6.4,1
6.5,3.5,1
3.6,2.9,1
