Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
1.8,4.2,1075.0,0
7.9,0.1,2050.0,0
8.1,1.5,125.0,0
8.1,8.0,1250.0,0
3.7,8.1,50.0,0
0.2,0.6,2025.0,0
0.9,0.6,75.0,0
4.9,0.4,1025.0,0
0.1,7.9,1625.0,1
7.7,3.6,1250.0,1
0.1,7.2,550.0,0
3.9,7.9,1300.0,0
0.4,0.2,1050.0,0
2.1,4.6,50.0,1
4.4,1.4,100.0,1
0.1,4.5,1825.0,0
8.1,0.4,1125.0,0
4.7,4.0,1325.0,1
0.2,3.0,425.0,1
0.1,2.5,1375.0,1
5.3,0.1,2050.0,0
6.5,6.0,1350.0,1
2.6,1.4,1200.0,0
6.2,0.4,475.0,1
6.5,3.2,50.0,0
2.3,6.2,1350.0,1
1.7,7.1,150.0,0
0.1,5.6,950.0,0
0.3,5.2,325.0,1
6.5,1.8,1225.0,0
6.0,8.1,1350.0,1
2.2,0.4,750.0,1
