Conc_AP_Lys_100_(mM),Conc_AP_Asp_30_(mM),Phase
1.4,0.4,0
0.3,8.0,1
8.1,2.9,1
0.3,4.2,1
4.7,1.8,1
0.2,2.1,0
0.3,6.1,1
3.0,1.2,0
