Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
3.5,0.3,600.0,0
0.1,7.7,2025.0,1
8.1,7.2,1225.0,1
1.7,7.9,150.0,1
8.1,3.5,50.0,1
8.1,1.3,1300.0,0
0.1,2.8,1425.0,1
0.5,3.5,250.0,1
4.1,5.0,1350.0,0
0.1,6.2,950.0,1
7.1,0.4,450.0,0
0.1,0.1,850.0,1
4.7,2.7,50.0,0
2.6,8.1,1375.0,1
5.1,2.1,1200.0,0
1.1,0.5,125.0,1
7.3,4.2,1250.0,1
2.4,1.3,1200.0,0
5.4,7.8,1350.0,0
0.1,5.0,1850.0,1
2.3,5.3,50.0,1
1.9,4.1,1100.0,0
0.3,6.0,350.0,0
0.2,2.5,800.0,0
0.3,7.4,1450.0,1
6.1,0.4,950.0,0
5.1,0.6,225.0,0
2.1,6.0,1350.0,0
3.1,1.2,75.0,1
6.2,5.9,1350.0,1
3.7,7.7,50.0,1
0.2,4.5,675.0,1
