Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
1.3,3.7,1
8.1,8.1,1
8.1,0.1,0
3.3,8.1,1
5.9,4.1,1
3.7,0.1,0
0.1,0.3,0
0.1,6.9,0
