Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
8.1,3.3,0
0.1,8.1,0
0.7,0.1,0
5.6,8.1,1
3.3,4.0,1
5.2,0.1,0
0.1,4.8,0
8.1,6.4,1
