Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
0.4,2.5,1250.0,0
7.9,1.6,125.0,1
6.4,7.9,1325.0,1
1.0,7.9,200.0,1
2.5,1.3,50.0,1
0.1,7.6,1625.0,1
5.5,2.2,1250.0,0
3.1,5.5,1325.0,0
1.0,4.3,425.0,1
2.8,0.4,875.0,1
7.9,0.4,1025.0,0
0.1,0.4,500.0,0
5.2,0.4,425.0,1
0.1,4.6,1775.0,1
6.4,4.9,1325.0,0
4.9,2.8,50.0,0
0.1,6.4,725.0,0
3.4,7.3,50.0,0
7.9,2.8,1325.0,0
2.5,7.9,1325.0,1
3.1,2.8,1250.0,0
0.1,0.1,1100.0,1
0.1,2.5,650.0,0
0.1,4.6,1025.0,1
2.2,5.5,50.0,0
0.7,2.2,125.0,0
1.0,5.5,1400.0,1
4.6,0.7,1025.0,1
4.6,4.3,1325.0,1
7.9,0.1,575.0,0
6.7,3.1,50.0,0
4.3,7.9,1325.0,0
