Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase,Barcode
0.0625,1.6,900.0,-1,001472TG56IH
7.6,5.6,1500.0,-1,762101QYYR6I
6.4,0.0625,800.0,-1,0718189H1SCP
2.0,7.6,1100.0,-1,0116814W7XTD
4.0,3.2,1200.0,-1,710180MCZGHT
4.8,7.6,1500.0,-1,001408EY3FLK
0.125,5.2,800.0,-1,016007CEQHZQ
3.2,0.25,900.0,-1,001018Z5UIRT
7.6,2.4,1200.0,-1,0766206J6VR4
2.0,4.8,1100.0,-1,4662863Q6OC4
0.25,7.6,800.0,-1,87667452QJ57
5.6,1.6,1100.0,-1,021082V28NOO
2.0,2.0,1000.0,-1,8674787WXH4X
0.8,3.6,900.0,-1,068748RPG1FC
5.6,6.0,1500.0,-1,287181S6S254
3.6,1.6,1100.0,-1,108680N618AY
