Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
0.4,3.7,1
8.1,3.5,1
0.6,8.1,1
4.2,2.5,1
1.5,0.6,0
0.2,5.9,0
6.1,3.2,0
0.1,1.8,0
