Conc_Asp_250_(mM),Conc_Lys_100_(mM),Conc_NaCl_(mM),Phase,Barcode
0.5,0.25,1000.0,-1,3171724MJHIM
7.6,6.0,2000.0,-1,8237175XRXKX
7.6,0.5,500.0,-1,1771718P8U92
1.2,7.6,1200.0,-1,111717SF04UH
4.4,3.2,1200.0,-1,7183319N832V
3.6,7.6,2000.0,-1,617267JXZZ1Z
0.0625,4.0,900.0,-1,132771RNF1EK
4.0,0.0625,800.0,-1,861786PWPBLR
7.6,3.2,1500.0,-1,877113TM6OT0
3.2,5.6,1500.0,-1,717171MBKBRS
6.8,2.0,1000.0,-1,767112VDJ51J
2.0,2.4,1000.0,-1,178817MF08QR
5.2,6.0,2000.0,-1,331122E9SNTY
2.0,4.4,1200.0,-1,387111HOKUKM
5.6,4.4,1500.0,-1,6287366QIXS8
0.0625,6.4,900.0,-1,6161763L83TH
6.0,0.5,800.0,-1,121211EZLZHX
4.8,1.6,1000.0,-1,121182XPTI1R
