Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase,Barcode
3.2,2.4,1100.0,-1,679062EAMTNS
0.0625,7.6,900.0,-1,672977SQEIYO
5.2,7.6,1500.0,-1,079077QNW1CY
7.6,0.0625,1000.0,-1,7577729Q99PJ
0.0625,0.0625,900.0,-1,7771011T6OUR
7.6,4.4,1500.0,-1,610525SM5BOY
0.125,4.0,900.0,-1,277001UXHE7N
3.2,5.6,1200.0,-1,276720WBRCT5
6.0,2.4,1200.0,-1,777576S4BK0L
4.8,0.0625,1100.0,-1,677701O7E1YG
2.4,0.125,1000.0,-1,027105O6O9AA
2.4,7.6,1100.0,-1,0770973UXBLO
1.0,2.0,1000.0,-1,27757751XSDC
1.2,6.0,1000.0,-1,276702W8AHEZ
4.4,4.0,1200.0,-1,2752507C6OVG
6.4,6.0,1500.0,-1,091071WP62S5
