Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
3.3,0.3,650.0,1
0.1,8.1,2000.0,1
8.1,7.3,1175.0,1
1.6,7.5,125.0,0
0.1,1.4,2050.0,1
8.0,3.2,50.0,0
8.1,1.4,1350.0,1
3.3,5.0,1275.0,0
0.1,3.5,525.0,0
0.1,0.1,1150.0,1
7.0,0.2,525.0,0
0.1,4.7,1675.0,1
4.4,2.7,50.0,0
4.8,8.1,1425.0,0
4.9,2.1,1225.0,0
1.1,0.9,50.0,1
0.1,6.5,825.0,0
7.0,4.4,1300.0,1
1.7,8.0,1350.0,0
2.1,4.6,50.0,1
1.9,2.4,1275.0,1
0.1,1.1,600.0,1
0.3,4.1,1100.0,1
3.9,8.0,50.0,0
5.0,0.6,250.0,1
5.4,6.0,1275.0,1
5.3,0.3,900.0,0
0.4,5.6,325.0,1
1.2,5.9,1300.0,0
0.1,2.4,1575.0,0
0.8,3.0,50.0,0
0.1,8.0,450.0,0
