,Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase
778,4.8,0.25,800.0,-1
779,4.8,0.25,900.0,-1
780,4.8,0.25,1000.0,-1
781,4.8,0.25,1100.0,-1
782,4.8,0.25,1200.0,-1
783,4.8,0.25,1500.0,-1
784,4.8,0.25,2000.0,-1
785,5.2,0.25,100.0,-1
786,5.2,0.25,300.0,-1
787,5.2,0.25,500.0,-1
788,5.2,0.25,600.0,-1
789,5.2,0.25,800.0,-1
790,5.2,0.25,900.0,-1
791,5.2,0.25,1000.0,-1
792,5.2,0.25,1100.0,-1
793,5.2,0.25,1200.0,-1
794,5.2,0.25,1500.0,-1
795,5.2,0.25,2000.0,-1
796,5.6,0.25,100.0,-1
797,5.6,0.25,300.0,-1
798,5.6,0.25,500.0,-1
799,5.6,0.25,600.0,-1
800,5.6,0.25,800.0,-1
801,5.6,0.25,900.0,-1
802,5.6,0.25,1000.0,-1
803,5.6,0.25,1100.0,-1
804,5.6,0.25,1200.0,-1
805,5.6,0.25,1500.0,-1
806,5.6,0.25,2000.0,-1
807,6.0,0.25,100.0,-1
808,6.0,0.25,300.0,-1
809,6.0,0.25,500.0,-1
810,6.0,0.25,600.0,-1
811,6.0,0.25,800.0,-1
812,6.0,0.25,900.0,-1
813,6.0,0.25,1000.0,-1
814,6.0,0.25,1100.0,-1
815,6.0,0.25,1200.0,-1
816,6.0,0.25,1500.0,-1
817,6.0,0.25,2000.0,-1
818,6.4,0.25,100.0,-1
819,6.4,0.25,300.0,-1
820,6.4,0.25,500.0,-1
821,6.4,0.25,600.0,-1
822,6.4,0.25,800.0,-1
823,6.4,0.25,900.0,-1
824,6.4,0.25,1000.0,-1
825,6.4,0.25,1100.0,-1
826,6.4,0.25,1200.0,-1
827,6.4,0.25,1500.0,-1
828,6.4,0.25,2000.0,-1
829,6.8,0.25,100.0,-1
830,6.8,0.25,300.0,-1
831,6.8,0.25,500.0,-1
832,6.8,0.25,600.0,-1
833,6.8,0.25,800.0,-1
834,6.8,0.25,900.0,-1
835,6.8,0.25,1000.0,-1
836,6.8,0.25,1100.0,-1
837,6.8,0.25,1200.0,-1
838,6.8,0.25,1500.0,-1
839,6.8,0.25,2000.0,-1
840,7.2,0.25,100.0,-1
841,7.2,0.25,300.0,-1
842,7.2,0.25,500.0,-1
843,7.2,0.25,600.0,-1
844,7.2,0.25,800.0,-1
845,7.2,0.25,900.0,-1
846,7.2,0.25,1000.0,-1
847,7.2,0.25,1100.0,-1
848,7.2,0.25,1200.0,-1
849,7.2,0.25,1500.0,-1
850,7.2,0.25,2000.0,-1
851,7.6,0.25,100.0,-1
852,7.6,0.25,300.0,-1
853,7.6,0.25,500.0,-1
854,7.6,0.25,600.0,-1
855,7.6,0.25,800.0,-1
856,7.6,0.25,900.0,-1
857,7.6,0.25,1000.0,-1
858,7.6,0.25,1100.0,-1
859,7.6,0.25,1200.0,-1
860,7.6,0.25,1500.0,-1
861,7.6,0.25,2000.0,-1
862,0.0625,0.3,100.0,-1
863,0.0625,0.3,300.0,-1
864,0.0625,0.3,500.0,-1
865,0.0625,0.3,600.0,-1
866,0.0625,0.3,800.0,-1
867,0.0625,0.3,900.0,-1
868,0.0625,0.3,1000.0,-1
869,0.0625,0.3,1100.0,-1
870,0.0625,0.3,1200.0,-1
871,0.0625,0.3,1500.0,-1
872,0.0625,0.3,2000.0,-1
873,0.125,0.3,100.0,-1
874,0.125,0.3,300.0,-1
875,0.125,0.3,500.0,-1
876,0.125,0.3,600.0,-1
877,0.125,0.3,800.0,-1
878,0.125,0.3,900.0,-1
879,0.125,0.3,1000.0,-1
880,0.125,0.3,1100.0,-1
881,0.125,0.3,1200.0,-1
882,0.125,0.3,1500.0,-1
883,0.125,0.3,2000.0,-1
884,0.25,0.3,100.0,-1
885,0.25,0.3,300.0,-1
886,0.25,0.3,500.0,-1
887,0.25,0.3,600.0,-1
888,0.25,0.3,800.0,-1
889,0.25,0.3,900.0,-1
890,0.25,0.3,1000.0,-1
891,0.25,0.3,1100.0,-1
892,0.25,0.3,1200.0,-1
893,0.25,0.3,1500.0,-1
894,0.25,0.3,2000.0,-1
895,0.3,0.3,100.0,-1
896,0.3,0.3,300.0,-1
897,0.3,0.3,500.0,-1
898,0.3,0.3,600.0,-1
899,0.3,0.3,800.0,-1
900,0.3,0.3,900.0,-1
901,0.3,0.3,1000.0,-1
902,0.3,0.3,1100.0,-1
903,0.3,0.3,1200.0,-1
904,0.3,0.3,1500.0,-1
905,0.3,0.3,2000.0,-1
906,0.5,0.3,100.0,-1
907,0.5,0.3,300.0,-1
908,0.5,0.3,500.0,-1
909,0.5,0.3,600.0,-1
910,0.5,0.3,800.0,-1
911,0.5,0.3,900.0,-1
912,0.5,0.3,1000.0,-1
913,0.5,0.3,1100.0,-1
914,0.5,0.3,1200.0,-1
915,0.5,0.3,1500.0,-1
916,0.5,0.3,2000.0,-1
917,0.6,0.3,100.0,-1
918,0.6,0.3,300.0,-1
919,0.6,0.3,500.0,-1
920,0.6,0.3,600.0,-1
921,0.6,0.3,800.0,-1
922,0.6,0.3,900.0,-1
923,0.6,0.3,1000.0,-1
924,0.6,0.3,1100.0,-1
925,0.6,0.3,1200.0,-1
926,0.6,0.3,1500.0,-1
927,0.6,0.3,2000.0,-1
928,0.8,0.3,100.0,-1
929,0.8,0.3,300.0,-1
930,0.8,0.3,500.0,-1
931,0.8,0.3,600.0,-1
932,0.8,0.3,800.0,-1
933,0.8,0.3,900.0,-1
934,0.8,0.3,1000.0,-1
935,0.8,0.3,1100.0,-1
936,0.8,0.3,1200.0,-1
937,0.8,0.3,1500.0,-1
938,0.8,0.3,2000.0,-1
939,1.0,0.3,100.0,-1
940,1.0,0.3,300.0,-1
941,1.0,0.3,500.0,-1
942,1.0,0.3,600.0,-1
943,1.0,0.3,800.0,-1
944,1.0,0.3,900.0,-1
945,1.0,0.3,1000.0,-1
946,1.0,0.3,1100.0,-1
947,1.0,0.3,1200.0,-1
948,1.0,0.3,1500.0,-1
949,1.0,0.3,2000.0,-1
950,1.2,0.3,100.0,-1
951,1.2,0.3,300.0,-1
952,1.2,0.3,500.0,-1
953,1.2,0.3,600.0,-1
954,1.2,0.3,800.0,-1
955,1.2,0.3,900.0,-1
956,1.2,0.3,1000.0,-1
957,1.2,0.3,1100.0,-1
958,1.2,0.3,1200.0,-1
959,1.2,0.3,1500.0,-1
960,1.2,0.3,2000.0,-1
961,1.6,0.3,100.0,-1
962,1.6,0.3,300.0,-1
963,1.6,0.3,500.0,-1
964,1.6,0.3,600.0,-1
965,1.6,0.3,800.0,-1
966,1.6,0.3,900.0,-1
967,1.6,0.3,1000.0,-1
968,1.6,0.3,1100.0,-1
969,1.6,0.3,1200.0,-1
970,1.6,0.3,1500.0,-1
971,1.6,0.3,2000.0,-1
972,2.0,0.3,100.0,-1
973,2.0,0.3,300.0,-1
974,2.0,0.3,500.0,-1
975,2.0,0.3,600.0,-1
976,2.0,0.3,800.0,-1
977,2.0,0.3,900.0,-1
978,2.0,0.3,1000.0,-1
979,2.0,0.3,1100.0,-1
980,2.0,0.3,1200.0,-1
981,2.0,0.3,1500.0,-1
982,2.0,0.3,2000.0,-1
983,2.4,0.3,100.0,-1
984,2.4,0.3,300.0,-1
985,2.4,0.3,500.0,-1
986,2.4,0.3,600.0,-1
987,2.4,0.3,800.0,-1
988,2.4,0.3,900.0,-1
989,2.4,0.3,1000.0,-1
990,2.4,0.3,1100.0,-1
991,2.4,0.3,1200.0,-1
992,2.4,0.3,1500.0,-1
993,2.4,0.3,2000.0,-1
994,2.8,0.3,100.0,-1
995,2.8,0.3,300.0,-1
996,2.8,0.3,500.0,-1
997,2.8,0.3,600.0,-1
998,2.8,0.3,800.0,-1
999,2.8,0.3,900.0,-1
1000,2.8,0.3,1000.0,-1
1001,2.8,0.3,1100.0,-1
1002,2.8,0.3,1200.0,-1
1003,2.8,0.3,1500.0,-1
1004,2.8,0.3,2000.0,-1
1005,3.2,0.3,100.0,-1
1006,3.2,0.3,300.0,-1
1007,3.2,0.3,500.0,-1
1008,3.2,0.3,600.0,-1
1009,3.2,0.3,800.0,-1
1010,3.2,0.3,900.0,-1
1011,3.2,0.3,1000.0,-1
1012,3.2,0.3,1100.0,-1
1013,3.2,0.3,1200.0,-1
1014,3.2,0.3,1500.0,-1
1015,3.2,0.3,2000.0,-1
1016,3.6,0.3,100.0,-1
1017,3.6,0.3,300.0,-1
1018,3.6,0.3,500.0,-1
1019,3.6,0.3,600.0,-1
1020,3.6,0.3,800.0,-1
1021,3.6,0.3,900.0,-1
1022,3.6,0.3,1000.0,-1
1023,3.6,0.3,1100.0,-1
1024,3.6,0.3,1200.0,-1
1025,3.6,0.3,1500.0,-1
1026,3.6,0.3,2000.0,-1
1027,4.0,0.3,100.0,-1
1028,4.0,0.3,300.0,-1
1029,4.0,0.3,500.0,-1
1030,4.0,0.3,600.0,-1
1031,4.0,0.3,800.0,-1
1032,4.0,0.3,900.0,-1
1033,4.0,0.3,1000.0,-1
1034,4.0,0.3,1100.0,-1
1035,4.0,0.3,1200.0,-1
1036,4.0,0.3,1500.0,-1
1037,4.0,0.3,2000.0,-1
1038,4.4,0.3,100.0,-1
1039,4.4,0.3,300.0,-1
1040,4.4,0.3,500.0,-1
1041,4.4,0.3,600.0,-1
1042,4.4,0.3,800.0,-1
1043,4.4,0.3,900.0,-1
1044,4.4,0.3,1000.0,-1
1045,4.4,0.3,1100.0,-1
1046,4.4,0.3,1200.0,-1
1047,4.4,0.3,1500.0,-1
1048,4.4,0.3,2000.0,-1
1049,4.8,0.3,100.0,-1
1050,4.8,0.3,300.0,-1
1051,4.8,0.3,500.0,-1
1052,4.8,0.3,600.0,-1
1053,4.8,0.3,800.0,-1
1054,4.8,0.3,900.0,-1
1055,4.8,0.3,1000.0,-1
1056,4.8,0.3,1100.0,-1
1057,4.8,0.3,1200.0,-1
1058,4.8,0.3,1500.0,-1
1059,4.8,0.3,2000.0,-1
1060,5.2,0.3,100.0,-1
1061,5.2,0.3,300.0,-1
1062,5.2,0.3,500.0,-1
1063,5.2,0.3,600.0,-1
1064,5.2,0.3,800.0,-1
1065,5.2,0.3,900.0,-1
1066,5.2,0.3,1000.0,-1
1067,5.2,0.3,1100.0,-1
1068,5.2,0.3,1200.0,-1
1069,5.2,0.3,1500.0,-1
1070,5.2,0.3,2000.0,-1
1071,5.6,0.3,100.0,-1
1072,5.6,0.3,300.0,-1
1073,5.6,0.3,500.0,-1
1074,5.6,0.3,600.0,-1
1075,5.6,0.3,800.0,-1
1076,5.6,0.3,900.0,-1
1077,5.6,0.3,1000.0,-1
1078,5.6,0.3,1100.0,-1
1079,5.6,0.3,1200.0,-1
1080,5.6,0.3,1500.0,-1
1081,5.6,0.3,2000.0,-1
1082,6.0,0.3,100.0,-1
1083,6.0,0.3,300.0,-1
1084,6.0,0.3,500.0,-1
1085,6.0,0.3,600.0,-1
1086,6.0,0.3,800.0,-1
1087,6.0,0.3,900.0,-1
1088,6.0,0.3,1000.0,-1
1089,6.0,0.3,1100.0,-1
1090,6.0,0.3,1200.0,-1
1091,6.0,0.3,1500.0,-1
1092,6.0,0.3,2000.0,-1
1093,6.4,0.3,100.0,-1
1094,6.4,0.3,300.0,-1
1095,6.4,0.3,500.0,-1
1096,6.4,0.3,600.0,-1
1097,6.4,0.3,800.0,-1
1098,6.4,0.3,900.0,-1
1099,6.4,0.3,1000.0,-1
1100,6.4,0.3,1100.0,-1
1101,6.4,0.3,1200.0,-1
1102,6.4,0.3,1500.0,-1
1103,6.4,0.3,2000.0,-1
1104,6.8,0.3,100.0,-1
1105,6.8,0.3,300.0,-1
1106,6.8,0.3,500.0,-1
1107,6.8,0.3,600.0,-1
1108,6.8,0.3,800.0,-1
1109,6.8,0.3,900.0,-1
1110,6.8,0.3,1000.0,-1
1111,6.8,0.3,1100.0,-1
1112,6.8,0.3,1200.0,-1
1113,6.8,0.3,1500.0,-1
1114,6.8,0.3,2000.0,-1
1115,7.2,0.3,100.0,-1
1116,7.2,0.3,300.0,-1
1117,7.2,0.3,500.0,-1
1118,7.2,0.3,600.0,-1
1119,7.2,0.3,800.0,-1
1120,7.2,0.3,900.0,-1
1121,7.2,0.3,1000.0,-1
1122,7.2,0.3,1100.0,-1
1123,7.2,0.3,1200.0,-1
1124,7.2,0.3,1500.0,-1
1125,7.2,0.3,2000.0,-1
1126,7.6,0.3,100.0,-1
1127,7.6,0.3,300.0,-1
1128,7.6,0.3,500.0,-1
1129,7.6,0.3,600.0,-1
1130,7.6,0.3,800.0,-1
1131,7.6,0.3,900.0,-1
1132,7.6,0.3,1000.0,-1
1133,7.6,0.3,1100.0,-1
1134,7.6,0.3,1200.0,-1
1135,7.6,0.3,1500.0,-1
1136,7.6,0.3,2000.0,-1
1137,0.0625,0.5,100.0,-1
1138,0.0625,0.5,300.0,-1
1139,0.0625,0.5,500.0,-1
1140,0.0625,0.5,600.0,-1
1141,0.0625,0.5,800.0,-1
1142,0.0625,0.5,900.0,-1
1143,0.0625,0.5,1000.0,-1
1144,0.0625,0.5,1100.0,-1
1145,0.0625,0.5,1200.0,-1
1146,0.0625,0.5,1500.0,-1
1147,0.0625,0.5,2000.0,-1
1148,0.125,0.5,100.0,-1
1149,0.125,0.5,300.0,-1
1150,0.125,0.5,500.0,-1
1151,0.125,0.5,600.0,-1
1152,0.125,0.5,800.0,-1
1153,0.125,0.5,900.0,-1
1154,0.125,0.5,1000.0,-1
1155,0.125,0.5,1100.0,-1
1156,0.125,0.5,1200.0,-1
1157,0.125,0.5,1500.0,-1
1158,0.125,0.5,2000.0,-1
1159,0.25,0.5,100.0,-1
1160,0.25,0.5,300.0,-1
1161,0.25,0.5,500.0,-1
1162,0.25,0.5,600.0,-1
1163,0.25,0.5,800.0,-1
1164,0.25,0.5,900.0,-1
1165,0.25,0.5,1000.0,-1
1166,0.25,0.5,1100.0,-1
1167,0.25,0.5,1200.0,-1
1168,0.25,0.5,1500.0,-1
1169,0.25,0.5,2000.0,-1
1170,0.3,0.5,100.0,-1
1171,0.3,0.5,300.0,-1
1172,0.3,0.5,500.0,-1
1173,0.3,0.5,600.0,-1
1174,0.3,0.5,800.0,-1
1175,0.3,0.5,900.0,-1
1176,0.3,0.5,1000.0,-1
1177,0.3,0.5,1100.0,-1
1178,0.3,0.5,1200.0,-1
1179,0.3,0.5,1500.0,-1
1180,0.3,0.5,2000.0,-1
1181,0.5,0.5,100.0,-1
1182,0.5,0.5,300.0,-1
1183,0.5,0.5,600.0,-1
1184,0.5,0.5,800.0,-1
1185,0.5,0.5,900.0,-1
1186,0.5,0.5,1100.0,-1
1187,0.5,0.5,1200.0,-1
1188,0.6,0.5,100.0,-1
1189,0.6,0.5,300.0,-1
1190,0.6,0.5,500.0,-1
1191,0.6,0.5,600.0,-1
1192,0.6,0.5,800.0,-1
1193,0.6,0.5,900.0,-1
1194,0.6,0.5,1000.0,-1
1195,0.6,0.5,1100.0,-1
1196,0.6,0.5,1200.0,-1
1197,0.6,0.5,1500.0,-1
1198,0.6,0.5,2000.0,-1
1199,0.8,0.5,100.0,-1
1200,0.8,0.5,300.0,-1
1201,0.8,0.5,500.0,-1
1202,0.8,0.5,600.0,-1
1203,0.8,0.5,800.0,-1
1204,0.8,0.5,900.0,-1
1205,0.8,0.5,1000.0,-1
1206,0.8,0.5,1100.0,-1
1207,0.8,0.5,1200.0,-1
1208,0.8,0.5,1500.0,-1
1209,0.8,0.5,2000.0,-1
1210,1.0,0.5,100.0,-1
1211,1.0,0.5,300.0,-1
1212,1.0,0.5,500.0,-1
1213,1.0,0.5,600.0,-1
1214,1.0,0.5,800.0,-1
1215,1.0,0.5,900.0,-1
1216,1.0,0.5,1000.0,-1
1217,1.0,0.5,1100.0,-1
1218,1.0,0.5,1200.0,-1
1219,1.0,0.5,1500.0,-1
1220,1.0,0.5,2000.0,-1
1221,1.2,0.5,100.0,-1
1222,1.2,0.5,300.0,-1
1223,1.2,0.5,500.0,-1
1224,1.2,0.5,600.0,-1
1225,1.2,0.5,800.0,-1
1226,1.2,0.5,900.0,-1
1227,1.2,0.5,1000.0,-1
1228,1.2,0.5,1100.0,-1
1229,1.2,0.5,1200.0,-1
1230,1.2,0.5,1500.0,-1
1231,1.2,0.5,2000.0,-1
1232,1.6,0.5,100.0,-1
1233,1.6,0.5,300.0,-1
1234,1.6,0.5,500.0,-1
1235,1.6,0.5,600.0,-1
1236,1.6,0.5,800.0,-1
1237,1.6,0.5,900.0,-1
1238,1.6,0.5,1000.0,-1
1239,1.6,0.5,1100.0,-1
1240,1.6,0.5,1200.0,-1
1241,1.6,0.5,1500.0,-1
1242,1.6,0.5,2000.0,-1
1243,2.0,0.5,100.0,-1
1244,2.0,0.5,300.0,-1
1245,2.0,0.5,500.0,-1
1246,2.0,0.5,600.0,-1
1247,2.0,0.5,800.0,-1
1248,2.0,0.5,900.0,-1
1249,2.0,0.5,1000.0,-1
1250,2.0,0.5,1100.0,-1
1251,2.0,0.5,1200.0,-1
1252,2.0,0.5,1500.0,-1
1253,2.0,0.5,2000.0,-1
1254,2.4,0.5,100.0,-1
1255,2.4,0.5,300.0,-1
1256,2.4,0.5,500.0,-1
1257,2.4,0.5,600.0,-1
1258,2.4,0.5,800.0,-1
1259,2.4,0.5,900.0,-1
1260,2.4,0.5,1000.0,-1
1261,2.4,0.5,1100.0,-1
1262,2.4,0.5,1200.0,-1
1263,2.4,0.5,1500.0,-1
1264,2.4,0.5,2000.0,-1
1265,2.8,0.5,100.0,-1
1266,2.8,0.5,300.0,-1
1267,2.8,0.5,500.0,-1
1268,2.8,0.5,600.0,-1
1269,2.8,0.5,800.0,-1
1270,2.8,0.5,900.0,-1
1271,2.8,0.5,1000.0,-1
1272,2.8,0.5,1100.0,-1
1273,2.8,0.5,1200.0,-1
1274,2.8,0.5,1500.0,-1
1275,2.8,0.5,2000.0,-1
1276,3.2,0.5,100.0,-1
1277,3.2,0.5,300.0,-1
1278,3.2,0.5,500.0,-1
1279,3.2,0.5,600.0,-1
1280,3.2,0.5,800.0,-1
1281,3.2,0.5,900.0,-1
1282,3.2,0.5,1000.0,-1
1283,3.2,0.5,1100.0,-1
1284,3.2,0.5,1200.0,-1
1285,3.2,0.5,1500.0,-1
1286,3.2,0.5,2000.0,-1
1287,3.6,0.5,100.0,-1
1288,3.6,0.5,300.0,-1
1289,3.6,0.5,500.0,-1
1290,3.6,0.5,600.0,-1
1291,3.6,0.5,800.0,-1
1292,3.6,0.5,900.0,-1
1293,3.6,0.5,1000.0,-1
1294,3.6,0.5,1100.0,-1
1295,3.6,0.5,1200.0,-1
1296,3.6,0.5,1500.0,-1
1297,3.6,0.5,2000.0,-1
1298,4.0,0.5,100.0,-1
1299,4.0,0.5,300.0,-1
1300,4.0,0.5,500.0,-1
1301,4.0,0.5,600.0,-1
1302,4.0,0.5,800.0,-1
1303,4.0,0.5,900.0,-1
1304,4.0,0.5,1000.0,-1
1305,4.0,0.5,1100.0,-1
1306,4.0,0.5,1200.0,-1
1307,4.0,0.5,1500.0,-1
1308,4.0,0.5,2000.0,-1
1309,4.4,0.5,100.0,-1
1310,4.4,0.5,300.0,-1
1311,4.4,0.5,500.0,-1
1312,4.4,0.5,600.0,-1
1313,4.4,0.5,800.0,-1
1314,4.4,0.5,900.0,-1
1315,4.4,0.5,1000.0,-1
1316,4.4,0.5,1100.0,-1
1317,4.4,0.5,1200.0,-1
1318,4.4,0.5,1500.0,-1
1319,4.4,0.5,2000.0,-1
1320,4.8,0.5,100.0,-1
1321,4.8,0.5,300.0,-1
1322,4.8,0.5,500.0,-1
1323,4.8,0.5,600.0,-1
1324,4.8,0.5,800.0,-1
1325,4.8,0.5,900.0,-1
1326,4.8,0.5,1000.0,-1
1327,4.8,0.5,1100.0,-1
1328,4.8,0.5,1200.0,-1
1329,4.8,0.5,1500.0,-1
1330,4.8,0.5,2000.0,-1
1331,5.2,0.5,100.0,-1
1332,5.2,0.5,300.0,-1
1333,5.2,0.5,500.0,-1
1334,5.2,0.5,600.0,-1
1335,5.2,0.5,800.0,-1
1336,5.2,0.5,900.0,-1
1337,5.2,0.5,1000.0,-1
1338,5.2,0.5,1100.0,-1
1339,5.2,0.5,1200.0,-1
1340,5.2,0.5,1500.0,-1
1341,5.2,0.5,2000.0,-1
1342,5.6,0.5,100.0,-1
1343,5.6,0.5,300.0,-1
1344,5.6,0.5,500.0,-1
1345,5.6,0.5,600.0,-1
1346,5.6,0.5,800.0,-1
1347,5.6,0.5,900.0,-1
1348,5.6,0.5,1000.0,-1
1349,5.6,0.5,1100.0,-1
1350,5.6,0.5,1200.0,-1
1351,5.6,0.5,1500.0,-1
1352,5.6,0.5,2000.0,-1
1353,6.0,0.5,100.0,-1
1354,6.0,0.5,300.0,-1
1355,6.0,0.5,500.0,-1
1356,6.0,0.5,600.0,-1
1357,6.0,0.5,800.0,1
1358,6.0,0.5,900.0,-1
1359,6.0,0.5,1000.0,-1
1360,6.0,0.5,1100.0,-1
1361,6.0,0.5,1200.0,-1
1362,6.0,0.5,1500.0,-1
1363,6.0,0.5,2000.0,-1
1364,6.4,0.5,100.0,-1
1365,6.4,0.5,300.0,-1
1366,6.4,0.5,500.0,-1
1367,6.4,0.5,600.0,-1
1368,6.4,0.5,800.0,-1
1369,6.4,0.5,900.0,-1
1370,6.4,0.5,1000.0,-1
1371,6.4,0.5,1100.0,-1
1372,6.4,0.5,1200.0,-1
1373,6.4,0.5,1500.0,-1
1374,6.4,0.5,2000.0,-1
1375,6.8,0.5,100.0,-1
1376,6.8,0.5,300.0,-1
1377,6.8,0.5,500.0,-1
1378,6.8,0.5,600.0,-1
1379,6.8,0.5,800.0,-1
1380,6.8,0.5,900.0,-1
1381,6.8,0.5,1000.0,-1
1382,6.8,0.5,1100.0,-1
1383,6.8,0.5,1200.0,-1
1384,6.8,0.5,1500.0,-1
1385,6.8,0.5,2000.0,-1
1386,7.2,0.5,100.0,-1
1387,7.2,0.5,300.0,-1
1388,7.2,0.5,500.0,-1
1389,7.2,0.5,600.0,-1
1390,7.2,0.5,800.0,-1
1391,7.2,0.5,900.0,-1
1392,7.2,0.5,1000.0,-1
1393,7.2,0.5,1100.0,-1
1394,7.2,0.5,1200.0,-1
1395,7.2,0.5,1500.0,-1
1396,7.2,0.5,2000.0,-1
1397,7.6,0.5,100.0,-1
1398,7.6,0.5,300.0,-1
1399,7.6,0.5,500.0,1
1400,7.6,0.5,600.0,-1
1401,7.6,0.5,800.0,-1
1402,7.6,0.5,900.0,-1
1403,7.6,0.5,1000.0,-1
1404,7.6,0.5,1100.0,0
1405,7.6,0.5,1200.0,-1
1406,7.6,0.5,1500.0,-1
1407,7.6,0.5,2000.0,-1
1408,0.0625,0.6,100.0,-1
1409,0.0625,0.6,300.0,-1
1410,0.0625,0.6,500.0,-1
1411,0.0625,0.6,600.0,-1
1412,0.0625,0.6,800.0,-1
1413,0.0625,0.6,900.0,-1
1414,0.0625,0.6,1000.0,-1
1415,0.0625,0.6,1100.0,-1
1416,0.0625,0.6,1200.0,-1
1417,0.0625,0.6,1500.0,-1
1418,0.0625,0.6,2000.0,-1
1419,0.125,0.6,100.0,-1
1420,0.125,0.6,300.0,-1
1421,0.125,0.6,500.0,-1
1422,0.125,0.6,600.0,-1
1423,0.125,0.6,800.0,-1
1424,0.125,0.6,900.0,-1
1425,0.125,0.6,1000.0,-1
1426,0.125,0.6,1100.0,-1
1427,0.125,0.6,1200.0,-1
1428,0.125,0.6,1500.0,-1
1429,0.125,0.6,2000.0,-1
1430,0.25,0.6,100.0,-1
1431,0.25,0.6,300.0,-1
1432,0.25,0.6,500.0,-1
1433,0.25,0.6,600.0,-1
1434,0.25,0.6,800.0,-1
1435,0.25,0.6,900.0,-1
1436,0.25,0.6,1000.0,-1
1437,0.25,0.6,1100.0,-1
1438,0.25,0.6,1200.0,-1
1439,0.25,0.6,1500.0,-1
1440,0.25,0.6,2000.0,-1
1441,0.3,0.6,100.0,-1
1442,0.3,0.6,300.0,-1
1443,0.3,0.6,500.0,-1
1444,0.3,0.6,600.0,-1
1445,0.3,0.6,800.0,-1
1446,0.3,0.6,900.0,-1
1447,0.3,0.6,1000.0,-1
1448,0.3,0.6,1100.0,-1
1449,0.3,0.6,1200.0,-1
1450,0.3,0.6,1500.0,-1
1451,0.3,0.6,2000.0,-1
1452,0.5,0.6,100.0,-1
1453,0.5,0.6,300.0,-1
1454,0.5,0.6,500.0,-1
1455,0.5,0.6,600.0,-1
1456,0.5,0.6,800.0,-1
1457,0.5,0.6,900.0,-1
1458,0.5,0.6,1000.0,-1
1459,0.5,0.6,1100.0,-1
1460,0.5,0.6,1200.0,-1
1461,0.5,0.6,1500.0,-1
1462,0.5,0.6,2000.0,-1
1463,0.6,0.6,100.0,-1
1464,0.6,0.6,300.0,-1
1465,0.6,0.6,500.0,-1
1466,0.6,0.6,600.0,-1
1467,0.6,0.6,800.0,-1
1468,0.6,0.6,900.0,-1
1469,0.6,0.6,1000.0,-1
1470,0.6,0.6,1100.0,-1
1471,0.6,0.6,1200.0,-1
1472,0.6,0.6,1500.0,-1
1473,0.6,0.6,2000.0,-1
1474,0.8,0.6,100.0,-1
1475,0.8,0.6,300.0,-1
1476,0.8,0.6,500.0,-1
1477,0.8,0.6,600.0,-1
1478,0.8,0.6,800.0,-1
1479,0.8,0.6,900.0,-1
1480,0.8,0.6,1000.0,-1
1481,0.8,0.6,1100.0,-1
1482,0.8,0.6,1200.0,-1
1483,0.8,0.6,1500.0,-1
1484,0.8,0.6,2000.0,-1
1485,1.0,0.6,100.0,-1
1486,1.0,0.6,300.0,-1
1487,1.0,0.6,500.0,-1
1488,1.0,0.6,600.0,-1
1489,1.0,0.6,800.0,-1
1490,1.0,0.6,900.0,-1
1491,1.0,0.6,1000.0,-1
1492,1.0,0.6,1100.0,-1
1493,1.0,0.6,1200.0,-1
1494,1.0,0.6,1500.0,-1
1495,1.0,0.6,2000.0,-1
1496,1.2,0.6,100.0,-1
1497,1.2,0.6,300.0,-1
1498,1.2,0.6,500.0,-1
1499,1.2,0.6,600.0,-1
1500,1.2,0.6,800.0,-1
1501,1.2,0.6,900.0,-1
1502,1.2,0.6,1000.0,-1
1503,1.2,0.6,1100.0,-1
1504,1.2,0.6,1200.0,-1
1505,1.2,0.6,1500.0,-1
1506,1.2,0.6,2000.0,-1
1507,1.6,0.6,100.0,-1
1508,1.6,0.6,300.0,-1
1509,1.6,0.6,500.0,-1
1510,1.6,0.6,600.0,-1
1511,1.6,0.6,800.0,-1
1512,1.6,0.6,900.0,-1
1513,1.6,0.6,1000.0,-1
1514,1.6,0.6,1100.0,-1
1515,1.6,0.6,1200.0,-1
1516,1.6,0.6,1500.0,-1
1517,1.6,0.6,2000.0,-1
1518,2.0,0.6,100.0,-1
1519,2.0,0.6,300.0,-1
1520,2.0,0.6,500.0,-1
1521,2.0,0.6,600.0,-1
1522,2.0,0.6,800.0,-1
1523,2.0,0.6,900.0,-1
1524,2.0,0.6,1000.0,-1
1525,2.0,0.6,1100.0,-1
1526,2.0,0.6,1200.0,-1
1527,2.0,0.6,1500.0,-1
1528,2.0,0.6,2000.0,-1
1529,2.4,0.6,100.0,-1
1530,2.4,0.6,300.0,-1
1531,2.4,0.6,500.0,-1
1532,2.4,0.6,600.0,-1
1533,2.4,0.6,800.0,-1
1534,2.4,0.6,900.0,-1
1535,2.4,0.6,1000.0,1
1536,2.4,0.6,1100.0,-1
1537,2.4,0.6,1200.0,-1
1538,2.4,0.6,1500.0,-1
1539,2.4,0.6,2000.0,-1
1540,2.8,0.6,100.0,-1
1541,2.8,0.6,300.0,-1
1542,2.8,0.6,500.0,-1
1543,2.8,0.6,600.0,-1
