,Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase
175,2.4,0.0625,1500.0,-1
176,2.4,0.0625,2000.0,-1
177,2.8,0.0625,100.0,-1
178,2.8,0.0625,300.0,-1
179,2.8,0.0625,500.0,-1
180,2.8,0.0625,600.0,-1
181,2.8,0.0625,800.0,-1
182,2.8,0.0625,900.0,-1
183,2.8,0.0625,1000.0,-1
184,2.8,0.0625,1100.0,-1
185,2.8,0.0625,1200.0,-1
186,2.8,0.0625,1500.0,-1
187,2.8,0.0625,2000.0,-1
188,3.2,0.0625,100.0,-1
189,3.2,0.0625,300.0,-1
190,3.2,0.0625,500.0,-1
191,3.2,0.0625,600.0,-1
192,3.2,0.0625,800.0,-1
193,3.2,0.0625,900.0,-1
194,3.2,0.0625,1000.0,-1
195,3.2,0.0625,1100.0,-1
196,3.2,0.0625,1200.0,-1
197,3.2,0.0625,1500.0,-1
198,3.2,0.0625,2000.0,-1
199,3.6,0.0625,100.0,-1
200,3.6,0.0625,300.0,-1
201,3.6,0.0625,500.0,-1
202,3.6,0.0625,600.0,-1
203,3.6,0.0625,800.0,-1
204,3.6,0.0625,900.0,-1
205,3.6,0.0625,1000.0,-1
206,3.6,0.0625,1100.0,-1
207,3.6,0.0625,1200.0,-1
208,3.6,0.0625,1500.0,-1
209,3.6,0.0625,2000.0,-1
210,4.0,0.0625,100.0,-1
211,4.0,0.0625,300.0,-1
212,4.0,0.0625,500.0,-1
213,4.0,0.0625,600.0,-1
214,4.0,0.0625,800.0,0
215,4.0,0.0625,900.0,-1
216,4.0,0.0625,1000.0,1
217,4.0,0.0625,1100.0,-1
218,4.0,0.0625,1200.0,-1
219,4.0,0.0625,1500.0,-1
220,4.0,0.0625,2000.0,-1
221,4.4,0.0625,100.0,-1
222,4.4,0.0625,300.0,-1
223,4.4,0.0625,500.0,-1
224,4.4,0.0625,600.0,-1
225,4.4,0.0625,800.0,-1
226,4.4,0.0625,900.0,0
227,4.4,0.0625,1000.0,-1
228,4.4,0.0625,1100.0,-1
229,4.4,0.0625,1200.0,-1
230,4.4,0.0625,1500.0,-1
231,4.4,0.0625,2000.0,-1
232,4.8,0.0625,100.0,-1
233,4.8,0.0625,300.0,-1
234,4.8,0.0625,500.0,-1
235,4.8,0.0625,600.0,-1
236,4.8,0.0625,800.0,-1
237,4.8,0.0625,900.0,-1
238,4.8,0.0625,1000.0,-1
239,4.8,0.0625,1100.0,1
240,4.8,0.0625,1200.0,-1
241,4.8,0.0625,1500.0,-1
242,4.8,0.0625,2000.0,-1
243,5.2,0.0625,100.0,-1
244,5.2,0.0625,300.0,-1
245,5.2,0.0625,500.0,-1
246,5.2,0.0625,600.0,-1
247,5.2,0.0625,800.0,-1
248,5.2,0.0625,900.0,-1
249,5.2,0.0625,1000.0,-1
250,5.2,0.0625,1100.0,-1
251,5.2,0.0625,1200.0,-1
252,5.2,0.0625,1500.0,-1
253,5.2,0.0625,2000.0,-1
254,5.6,0.0625,100.0,-1
255,5.6,0.0625,300.0,-1
256,5.6,0.0625,500.0,-1
257,5.6,0.0625,600.0,-1
258,5.6,0.0625,800.0,-1
259,5.6,0.0625,900.0,-1
260,5.6,0.0625,1000.0,-1
261,5.6,0.0625,1100.0,-1
262,5.6,0.0625,1200.0,-1
263,5.6,0.0625,1500.0,-1
264,5.6,0.0625,2000.0,-1
265,6.0,0.0625,100.0,-1
266,6.0,0.0625,300.0,-1
267,6.0,0.0625,500.0,-1
268,6.0,0.0625,600.0,-1
269,6.0,0.0625,800.0,-1
270,6.0,0.0625,900.0,-1
271,6.0,0.0625,1000.0,1
272,6.0,0.0625,1100.0,-1
273,6.0,0.0625,1200.0,-1
274,6.0,0.0625,1500.0,-1
275,6.0,0.0625,2000.0,-1
276,6.4,0.0625,100.0,-1
277,6.4,0.0625,300.0,-1
278,6.4,0.0625,500.0,-1
279,6.4,0.0625,600.0,-1
280,6.4,0.0625,800.0,1
281,6.4,0.0625,900.0,-1
282,6.4,0.0625,1000.0,-1
283,6.4,0.0625,1100.0,-1
284,6.4,0.0625,1200.0,-1
285,6.4,0.0625,1500.0,-1
286,6.4,0.0625,2000.0,-1
287,6.8,0.0625,100.0,-1
288,6.8,0.0625,300.0,-1
289,6.8,0.0625,500.0,-1
290,6.8,0.0625,600.0,-1
291,6.8,0.0625,800.0,-1
292,6.8,0.0625,900.0,-1
293,6.8,0.0625,1000.0,-1
294,6.8,0.0625,1100.0,-1
295,6.8,0.0625,1200.0,-1
296,6.8,0.0625,1500.0,-1
297,6.8,0.0625,2000.0,-1
298,7.2,0.0625,100.0,-1
299,7.2,0.0625,300.0,-1
300,7.2,0.0625,500.0,-1
301,7.2,0.0625,600.0,-1
302,7.2,0.0625,800.0,-1
303,7.2,0.0625,900.0,-1
304,7.2,0.0625,1000.0,-1
305,7.2,0.0625,1100.0,-1
306,7.2,0.0625,1200.0,-1
307,7.2,0.0625,1500.0,-1
308,7.2,0.0625,2000.0,-1
309,7.6,0.0625,100.0,-1
310,7.6,0.0625,300.0,-1
311,7.6,0.0625,500.0,-1
312,7.6,0.0625,600.0,-1
313,7.6,0.0625,800.0,-1
314,7.6,0.0625,900.0,0
315,7.6,0.0625,1000.0,0
316,7.6,0.0625,1100.0,-1
317,7.6,0.0625,1200.0,-1
318,7.6,0.0625,1500.0,-1
319,7.6,0.0625,2000.0,-1
320,0.0625,0.125,100.0,-1
321,0.0625,0.125,300.0,-1
322,0.0625,0.125,500.0,-1
323,0.0625,0.125,600.0,-1
324,0.0625,0.125,800.0,-1
325,0.0625,0.125,900.0,-1
326,0.0625,0.125,1000.0,-1
327,0.0625,0.125,1100.0,-1
328,0.0625,0.125,1200.0,-1
329,0.0625,0.125,1500.0,-1
330,0.0625,0.125,2000.0,-1
331,0.125,0.125,100.0,-1
332,0.125,0.125,300.0,-1
333,0.125,0.125,600.0,-1
334,0.125,0.125,800.0,-1
335,0.125,0.125,900.0,-1
336,0.125,0.125,1100.0,-1
337,0.125,0.125,1200.0,-1
338,0.25,0.125,100.0,-1
339,0.25,0.125,300.0,-1
340,0.25,0.125,500.0,-1
341,0.25,0.125,600.0,-1
342,0.25,0.125,800.0,-1
343,0.25,0.125,900.0,-1
344,0.25,0.125,1000.0,-1
345,0.25,0.125,1100.0,-1
346,0.25,0.125,1200.0,-1
347,0.25,0.125,1500.0,-1
348,0.25,0.125,2000.0,-1
349,0.3,0.125,100.0,-1
350,0.3,0.125,300.0,-1
351,0.3,0.125,500.0,-1
352,0.3,0.125,600.0,-1
353,0.3,0.125,800.0,-1
354,0.3,0.125,900.0,-1
355,0.3,0.125,1000.0,-1
356,0.3,0.125,1100.0,-1
357,0.3,0.125,1200.0,-1
358,0.3,0.125,1500.0,-1
359,0.3,0.125,2000.0,-1
360,0.5,0.125,100.0,-1
361,0.5,0.125,300.0,-1
362,0.5,0.125,500.0,-1
363,0.5,0.125,600.0,-1
364,0.5,0.125,800.0,-1
365,0.5,0.125,900.0,-1
366,0.5,0.125,1000.0,-1
367,0.5,0.125,1100.0,-1
368,0.5,0.125,1200.0,-1
369,0.5,0.125,1500.0,-1
370,0.5,0.125,2000.0,-1
371,0.6,0.125,100.0,-1
372,0.6,0.125,300.0,-1
373,0.6,0.125,500.0,-1
374,0.6,0.125,600.0,-1
375,0.6,0.125,800.0,-1
376,0.6,0.125,900.0,-1
377,0.6,0.125,1000.0,-1
378,0.6,0.125,1100.0,-1
379,0.6,0.125,1200.0,-1
380,0.6,0.125,1500.0,-1
381,0.6,0.125,2000.0,-1
382,0.8,0.125,100.0,-1
383,0.8,0.125,300.0,-1
384,0.8,0.125,500.0,-1
385,0.8,0.125,600.0,-1
386,0.8,0.125,800.0,-1
387,0.8,0.125,900.0,-1
388,0.8,0.125,1000.0,-1
389,0.8,0.125,1100.0,-1
390,0.8,0.125,1200.0,-1
391,0.8,0.125,1500.0,-1
392,0.8,0.125,2000.0,-1
393,1.0,0.125,100.0,-1
394,1.0,0.125,300.0,-1
395,1.0,0.125,500.0,-1
396,1.0,0.125,600.0,-1
397,1.0,0.125,800.0,-1
398,1.0,0.125,900.0,-1
399,1.0,0.125,1000.0,-1
400,1.0,0.125,1100.0,-1
401,1.0,0.125,1200.0,-1
402,1.0,0.125,1500.0,-1
403,1.0,0.125,2000.0,-1
404,1.2,0.125,100.0,-1
405,1.2,0.125,300.0,-1
406,1.2,0.125,500.0,-1
407,1.2,0.125,600.0,-1
408,1.2,0.125,800.0,-1
409,1.2,0.125,900.0,-1
410,1.2,0.125,1000.0,-1
411,1.2,0.125,1100.0,-1
412,1.2,0.125,1200.0,-1
413,1.2,0.125,1500.0,-1
414,1.2,0.125,2000.0,-1
415,1.6,0.125,100.0,-1
416,1.6,0.125,300.0,-1
417,1.6,0.125,500.0,-1
418,1.6,0.125,600.0,-1
419,1.6,0.125,800.0,-1
420,1.6,0.125,900.0,-1
421,1.6,0.125,1000.0,-1
422,1.6,0.125,1100.0,-1
423,1.6,0.125,1200.0,-1
424,1.6,0.125,1500.0,-1
425,1.6,0.125,2000.0,-1
426,2.0,0.125,100.0,-1
427,2.0,0.125,300.0,-1
428,2.0,0.125,500.0,-1
429,2.0,0.125,600.0,-1
430,2.0,0.125,800.0,-1
431,2.0,0.125,900.0,-1
432,2.0,0.125,1000.0,-1
433,2.0,0.125,1100.0,-1
434,2.0,0.125,1200.0,-1
435,2.0,0.125,1500.0,-1
436,2.0,0.125,2000.0,-1
437,2.4,0.125,100.0,-1
438,2.4,0.125,300.0,-1
439,2.4,0.125,500.0,-1
440,2.4,0.125,600.0,-1
441,2.4,0.125,800.0,-1
442,2.4,0.125,900.0,-1
443,2.4,0.125,1000.0,1
444,2.4,0.125,1100.0,-1
445,2.4,0.125,1200.0,-1
446,2.4,0.125,1500.0,-1
447,2.4,0.125,2000.0,-1
448,2.8,0.125,100.0,-1
449,2.8,0.125,300.0,-1
450,2.8,0.125,500.0,-1
451,2.8,0.125,600.0,-1
452,2.8,0.125,800.0,-1
453,2.8,0.125,900.0,-1
454,2.8,0.125,1000.0,-1
455,2.8,0.125,1100.0,-1
456,2.8,0.125,1200.0,-1
457,2.8,0.125,1500.0,-1
458,2.8,0.125,2000.0,-1
459,3.2,0.125,100.0,-1
460,3.2,0.125,300.0,-1
461,3.2,0.125,500.0,-1
462,3.2,0.125,600.0,-1
463,3.2,0.125,800.0,-1
464,3.2,0.125,900.0,-1
465,3.2,0.125,1000.0,-1
466,3.2,0.125,1100.0,-1
467,3.2,0.125,1200.0,-1
468,3.2,0.125,1500.0,-1
469,3.2,0.125,2000.0,-1
470,3.6,0.125,100.0,-1
471,3.6,0.125,300.0,-1
472,3.6,0.125,500.0,-1
473,3.6,0.125,600.0,-1
474,3.6,0.125,800.0,-1
475,3.6,0.125,900.0,-1
476,3.6,0.125,1000.0,-1
477,3.6,0.125,1100.0,-1
478,3.6,0.125,1200.0,-1
479,3.6,0.125,1500.0,-1
480,3.6,0.125,2000.0,-1
481,4.0,0.125,100.0,-1
482,4.0,0.125,300.0,-1
483,4.0,0.125,500.0,-1
484,4.0,0.125,600.0,-1
485,4.0,0.125,800.0,-1
486,4.0,0.125,900.0,-1
487,4.0,0.125,1000.0,-1
488,4.0,0.125,1100.0,-1
489,4.0,0.125,1200.0,-1
490,4.0,0.125,1500.0,-1
491,4.0,0.125,2000.0,-1
492,4.4,0.125,100.0,-1
493,4.4,0.125,300.0,-1
494,4.4,0.125,500.0,-1
495,4.4,0.125,600.0,-1
496,4.4,0.125,800.0,-1
497,4.4,0.125,900.0,-1
498,4.4,0.125,1000.0,-1
499,4.4,0.125,1100.0,-1
500,4.4,0.125,1200.0,-1
501,4.4,0.125,1500.0,-1
502,4.4,0.125,2000.0,-1
503,4.8,0.125,100.0,-1
504,4.8,0.125,300.0,-1
505,4.8,0.125,500.0,-1
506,4.8,0.125,600.0,-1
507,4.8,0.125,800.0,-1
508,4.8,0.125,900.0,-1
509,4.8,0.125,1000.0,-1
510,4.8,0.125,1100.0,-1
511,4.8,0.125,1200.0,-1
512,4.8,0.125,1500.0,-1
513,4.8,0.125,2000.0,-1
514,5.2,0.125,100.0,-1
515,5.2,0.125,300.0,-1
516,5.2,0.125,500.0,-1
517,5.2,0.125,600.0,-1
518,5.2,0.125,800.0,-1
519,5.2,0.125,900.0,-1
520,5.2,0.125,1000.0,-1
