Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase
0.125,0.25,800.0,-1
0.125,0.25,900.0,-1
0.125,0.25,1000.0,-1
0.125,0.25,1100.0,-1
0.125,0.25,1200.0,-1
0.125,0.25,1500.0,-1
0.125,0.25,2000.0,-1
0.25,0.25,100.0,-1
0.25,0.25,300.0,-1
0.25,0.25,600.0,-1
0.25,0.25,800.0,-1
0.25,0.25,900.0,-1
0.25,0.25,1100.0,-1
0.25,0.25,1200.0,-1
0.3,0.25,100.0,-1
0.3,0.25,300.0,-1
0.3,0.25,500.0,-1
0.3,0.25,600.0,-1
0.3,0.25,800.0,-1
0.3,0.25,900.0,-1
0.3,0.25,1000.0,-1
0.3,0.25,1100.0,-1
0.3,0.25,1200.0,-1
0.3,0.25,1500.0,-1
0.3,0.25,2000.0,-1
0.5,0.25,100.0,-1
0.5,0.25,300.0,-1
0.5,0.25,500.0,-1
0.5,0.25,600.0,-1
0.5,0.25,800.0,-1
0.5,0.25,900.0,-1
0.5,0.25,1000.0,-1
0.5,0.25,1100.0,-1
0.5,0.25,1200.0,-1
0.5,0.25,1500.0,-1
0.5,0.25,2000.0,-1
0.6,0.25,100.0,-1
0.6,0.25,300.0,-1
0.6,0.25,500.0,-1
0.6,0.25,600.0,-1
0.6,0.25,800.0,-1
0.6,0.25,900.0,-1
0.6,0.25,1000.0,-1
0.6,0.25,1100.0,-1
0.6,0.25,1200.0,-1
0.6,0.25,1500.0,-1
0.6,0.25,2000.0,-1
0.8,0.25,100.0,-1
0.8,0.25,300.0,-1
0.8,0.25,500.0,-1
0.8,0.25,600.0,-1
0.8,0.25,800.0,-1
0.8,0.25,900.0,-1
0.8,0.25,1000.0,-1
0.8,0.25,1100.0,-1
0.8,0.25,1200.0,-1
0.8,0.25,1500.0,-1
0.8,0.25,2000.0,-1
1.0,0.25,100.0,-1
1.0,0.25,300.0,-1
1.0,0.25,500.0,-1
1.0,0.25,600.0,-1
1.0,0.25,800.0,-1
1.0,0.25,900.0,-1
1.0,0.25,1000.0,-1
1.0,0.25,1100.0,-1
1.0,0.25,1200.0,-1
1.0,0.25,1500.0,-1
1.0,0.25,2000.0,-1
1.2,0.25,100.0,-1
1.2,0.25,300.0,-1
1.2,0.25,500.0,-1
1.2,0.25,600.0,-1
1.2,0.25,800.0,-1
1.2,0.25,900.0,-1
1.2,0.25,1000.0,-1
1.2,0.25,1100.0,-1
