Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase
0.125,0.3,300.0,-1
0.125,0.3,500.0,-1
0.125,0.3,600.0,-1
0.125,0.3,800.0,-1
0.125,0.3,900.0,-1
0.125,0.3,1000.0,-1
0.125,0.3,1100.0,-1
0.125,0.3,1200.0,-1
0.125,0.3,1500.0,-1
0.125,0.3,2000.0,-1
0.25,0.3,100.0,-1
0.25,0.3,300.0,-1
0.25,0.3,500.0,-1
0.25,0.3,600.0,-1
0.25,0.3,800.0,-1
0.25,0.3,900.0,-1
0.25,0.3,1000.0,-1
0.25,0.3,1100.0,-1
0.25,0.3,1200.0,-1
0.25,0.3,1500.0,-1
0.25,0.3,2000.0,-1
0.3,0.3,100.0,-1
0.3,0.3,300.0,-1
0.3,0.3,500.0,-1
0.3,0.3,600.0,-1
0.3,0.3,800.0,-1
0.3,0.3,900.0,-1
0.3,0.3,1000.0,-1
0.3,0.3,1100.0,-1
0.3,0.3,1200.0,-1
0.3,0.3,1500.0,-1
0.3,0.3,2000.0,-1
0.5,0.3,100.0,-1
0.5,0.3,300.0,-1
0.5,0.3,500.0,-1
0.5,0.3,600.0,-1
0.5,0.3,800.0,-1
0.5,0.3,900.0,-1
0.5,0.3,1000.0,-1
0.5,0.3,1100.0,-1
0.5,0.3,1200.0,-1
0.5,0.3,1500.0,-1
0.5,0.3,2000.0,-1
0.6,0.3,100.0,-1
0.6,0.3,300.0,-1
0.6,0.3,500.0,-1
0.6,0.3,600.0,-1
0.6,0.3,800.0,-1
0.6,0.3,900.0,-1
0.6,0.3,1000.0,-1
0.6,0.3,1100.0,-1
0.6,0.3,1200.0,-1
0.6,0.3,1500.0,-1
0.6,0.3,2000.0,-1
0.8,0.3,100.0,-1
0.8,0.3,300.0,-1
0.8,0.3,500.0,-1
0.8,0.3,600.0,-1
0.8,0.3,800.0,-1
0.8,0.3,900.0,-1
0.8,0.3,1000.0,-1
0.8,0.3,1100.0,-1
0.8,0.3,1200.0,-1
0.8,0.3,1500.0,-1
0.8,0.3,2000.0,-1
1.0,0.3,100.0,-1
1.0,0.3,300.0,-1
1.0,0.3,500.0,-1
1.0,0.3,600.0,-1
1.0,0.3,800.0,-1
1.0,0.3,900.0,-1
1.0,0.3,1000.0,-1
1.0,0.3,1100.0,-1
1.0,0.3,1200.0,-1
1.0,0.3,1500.0,-1
1.0,0.3,2000.0,-1
1.2,0.3,100.0,-1
1.2,0.3,300.0,-1
1.2,0.3,500.0,-1
1.2,0.3,600.0,-1
1.2,0.3,800.0,-1
1.2,0.3,900.0,-1
1.2,0.3,1000.0,-1
1.2,0.3,1100.0,-1
1.2,0.3,1200.0,-1
1.2,0.3,1500.0,-1
1.2,0.3,2000.0,-1
1.6,0.3,100.0,-1
1.6,0.3,300.0,-1
1.6,0.3,500.0,-1
1.6,0.3,600.0,-1
1.6,0.3,800.0,-1
1.6,0.3,900.0,-1
1.6,0.3,1000.0,-1
1.6,0.3,1100.0,-1
1.6,0.3,1200.0,-1
1.6,0.3,1500.0,-1
1.6,0.3,2000.0,-1
2.0,0.3,100.0,-1
2.0,0.3,300.0,-1
2.0,0.3,500.0,-1
2.0,0.3,600.0,-1
2.0,0.3,800.0,-1
2.0,0.3,900.0,-1
2.0,0.3,1000.0,-1
2.0,0.3,1100.0,-1
2.0,0.3,1200.0,-1
2.0,0.3,1500.0,-1
2.0,0.3,2000.0,-1
2.4,0.3,100.0,-1
2.4,0.3,300.0,-1
2.4,0.3,500.0,-1
2.4,0.3,600.0,-1
2.4,0.3,800.0,-1
2.4,0.3,900.0,-1
2.4,0.3,1000.0,-1
2.4,0.3,1100.0,-1
2.4,0.3,1200.0,-1
2.4,0.3,1500.0,-1
2.4,0.3,2000.0,-1
2.8,0.3,100.0,-1
2.8,0.3,300.0,-1
2.8,0.3,500.0,-1
2.8,0.3,600.0,-1
2.8,0.3,800.0,-1
2.8,0.3,900.0,-1
2.8,0.3,1000.0,-1
2.8,0.3,1100.0,-1
2.8,0.3,1200.0,-1
2.8,0.3,1500.0,-1
2.8,0.3,2000.0,-1
3.2,0.3,100.0,-1
3.2,0.3,300.0,-1
3.2,0.3,500.0,-1
3.2,0.3,600.0,-1
3.2,0.3,800.0,-1
3.2,0.3,900.0,-1
3.2,0.3,1000.0,-1
3.2,0.3,1100.0,-1
3.2,0.3,1200.0,-1
3.2,0.3,1500.0,-1
3.2,0.3,2000.0,-1
3.6,0.3,100.0,-1
3.6,0.3,300.0,-1
3.6,0.3,500.0,-1
3.6,0.3,600.0,-1
3.6,0.3,800.0,-1
3.6,0.3,900.0,-1
3.6,0.3,1000.0,-1
3.6,0.3,1100.0,-1
3.6,0.3,1200.0,-1
3.6,0.3,1500.0,-1
3.6,0.3,2000.0,-1
4.0,0.3,100.0,-1
4.0,0.3,300.0,-1
4.0,0.3,500.0,-1
4.0,0.3,600.0,-1
4.0,0.3,800.0,-1
4.0,0.3,900.0,-1
4.0,0.3,1000.0,-1
4.0,0.3,1100.0,-1
4.0,0.3,1200.0,-1
4.0,0.3,1500.0,-1
4.0,0.3,2000.0,-1
4.4,0.3,100.0,-1
4.4,0.3,300.0,-1
4.4,0.3,500.0,-1
4.4,0.3,600.0,-1
4.4,0.3,800.0,-1
4.4,0.3,900.0,-1
4.4,0.3,1000.0,-1
4.4,0.3,1100.0,-1
4.4,0.3,1200.0,-1
4.4,0.3,1500.0,-1
4.4,0.3,2000.0,-1
4.8,0.3,100.0,-1
4.8,0.3,300.0,-1
4.8,0.3,500.0,-1
4.8,0.3,600.0,-1
4.8,0.3,800.0,-1
4.8,0.3,900.0,-1
4.8,0.3,1000.0,-1
4.8,0.3,1100.0,-1
4.8,0.3,1200.0,-1
4.8,0.3,1500.0,-1
4.8,0.3,2000.0,-1
5.2,0.3,100.0,-1
5.2,0.3,300.0,-1
5.2,0.3,500.0,-1
5.2,0.3,600.0,-1
5.2,0.3,800.0,-1
5.2,0.3,900.0,-1
5.2,0.3,1000.0,-1
5.2,0.3,1100.0,-1
5.2,0.3,1200.0,-1
5.2,0.3,1500.0,-1
5.2,0.3,2000.0,-1
5.6,0.3,100.0,-1
5.6,0.3,300.0,-1
5.6,0.3,500.0,-1
5.6,0.3,600.0,-1
5.6,0.3,800.0,-1
5.6,0.3,900.0,-1
5.6,0.3,1000.0,-1
5.6,0.3,1100.0,-1
5.6,0.3,1200.0,-1
5.6,0.3,1500.0,-1
5.6,0.3,2000.0,-1
6.0,0.3,100.0,-1
6.0,0.3,300.0,-1
6.0,0.3,500.0,-1
6.0,0.3,600.0,-1
6.0,0.3,800.0,-1
6.0,0.3,900.0,-1
6.0,0.3,1000.0,-1
6.0,0.3,1100.0,-1
6.0,0.3,1200.0,-1
6.0,0.3,1500.0,-1
6.0,0.3,2000.0,-1
6.4,0.3,100.0,-1
6.4,0.3,300.0,-1
6.4,0.3,500.0,-1
6.4,0.3,600.0,-1
6.4,0.3,800.0,-1
6.4,0.3,900.0,-1
6.4,0.3,1000.0,-1
6.4,0.3,1100.0,-1
6.4,0.3,1200.0,-1
6.4,0.3,1500.0,-1
6.4,0.3,2000.0,-1
6.8,0.3,100.0,-1
6.8,0.3,300.0,-1
6.8,0.3,500.0,-1
6.8,0.3,600.0,-1
6.8,0.3,800.0,-1
6.8,0.3,900.0,-1
6.8,0.3,1000.0,-1
6.8,0.3,1100.0,-1
6.8,0.3,1200.0,-1
6.8,0.3,1500.0,-1
6.8,0.3,2000.0,-1
7.2,0.3,100.0,-1
7.2,0.3,300.0,-1
7.2,0.3,500.0,-1
7.2,0.3,600.0,-1
7.2,0.3,800.0,-1
7.2,0.3,900.0,-1
7.2,0.3,1000.0,-1
7.2,0.3,1100.0,-1
7.2,0.3,1200.0,-1
7.2,0.3,1500.0,-1
7.2,0.3,2000.0,-1
7.6,0.3,100.0,-1
7.6,0.3,300.0,-1
7.6,0.3,500.0,-1
7.6,0.3,600.0,-1
7.6,0.3,800.0,-1
7.6,0.3,900.0,-1
7.6,0.3,1000.0,-1
7.6,0.3,1100.0,-1
7.6,0.3,1200.0,-1
7.6,0.3,1500.0,-1
7.6,0.3,2000.0,-1
0.0625,0.5,100.0,-1
0.0625,0.5,300.0,-1
0.0625,0.5,500.0,-1
0.0625,0.5,600.0,-1
0.0625,0.5,800.0,-1
0.0625,0.5,900.0,-1
0.0625,0.5,1000.0,-1
0.0625,0.5,1100.0,-1
0.0625,0.5,1200.0,-1
0.0625,0.5,1500.0,-1
0.0625,0.5,2000.0,-1
0.125,0.5,100.0,-1
0.125,0.5,300.0,-1
0.125,0.5,500.0,-1
0.125,0.5,600.0,-1
0.125,0.5,800.0,-1
0.125,0.5,900.0,-1
0.125,0.5,1000.0,-1
0.125,0.5,1100.0,-1
0.125,0.5,1200.0,-1
0.125,0.5,1500.0,-1
0.125,0.5,2000.0,-1
0.25,0.5,100.0,-1
0.25,0.5,300.0,-1
0.25,0.5,500.0,-1
0.25,0.5,600.0,-1
0.25,0.5,800.0,-1
0.25,0.5,900.0,-1
0.25,0.5,1000.0,-1
0.25,0.5,1100.0,-1
0.25,0.5,1200.0,-1
0.25,0.5,1500.0,-1
0.25,0.5,2000.0,-1
0.3,0.5,100.0,-1
0.3,0.5,300.0,-1
0.3,0.5,500.0,-1
0.3,0.5,600.0,-1
0.3,0.5,800.0,-1
0.3,0.5,900.0,-1
0.3,0.5,1000.0,-1
0.3,0.5,1100.0,-1
0.3,0.5,1200.0,-1
0.3,0.5,1500.0,-1
0.3,0.5,2000.0,-1
0.5,0.5,100.0,-1
0.5,0.5,300.0,-1
0.5,0.5,600.0,-1
0.5,0.5,800.0,-1
0.5,0.5,900.0,-1
0.5,0.5,1100.0,-1
0.5,0.5,1200.0,-1
0.6,0.5,100.0,-1
0.6,0.5,300.0,-1
0.6,0.5,500.0,-1
0.6,0.5,600.0,-1
0.6,0.5,800.0,-1
0.6,0.5,900.0,-1
0.6,0.5,1000.0,-1
0.6,0.5,1100.0,-1
0.6,0.5,1200.0,-1
0.6,0.5,1500.0,-1
0.6,0.5,2000.0,-1
0.8,0.5,100.0,-1
0.8,0.5,300.0,-1
0.8,0.5,500.0,-1
0.8,0.5,600.0,-1
0.8,0.5,800.0,-1
0.8,0.5,900.0,-1
0.8,0.5,1000.0,-1
0.8,0.5,1100.0,-1
0.8,0.5,1200.0,-1
0.8,0.5,1500.0,-1
0.8,0.5,2000.0,-1
1.0,0.5,100.0,-1
1.0,0.5,300.0,-1
1.0,0.5,500.0,-1
1.0,0.5,600.0,-1
1.0,0.5,800.0,-1
1.0,0.5,900.0,-1
1.0,0.5,1000.0,-1
1.0,0.5,1100.0,-1
1.0,0.5,1200.0,-1
1.0,0.5,1500.0,-1
1.0,0.5,2000.0,-1
1.2,0.5,100.0,-1
1.2,0.5,300.0,-1
1.2,0.5,500.0,-1
1.2,0.5,600.0,-1
1.2,0.5,800.0,-1
1.2,0.5,900.0,-1
1.2,0.5,1000.0,-1
1.2,0.5,1100.0,-1
1.2,0.5,1200.0,-1
1.2,0.5,1500.0,-1
1.2,0.5,2000.0,-1
1.6,0.5,100.0,-1
1.6,0.5,300.0,-1
1.6,0.5,500.0,-1
1.6,0.5,600.0,-1
1.6,0.5,800.0,-1
1.6,0.5,900.0,-1
1.6,0.5,1000.0,-1
1.6,0.5,1100.0,-1
1.6,0.5,1200.0,-1
1.6,0.5,1500.0,-1
1.6,0.5,2000.0,-1
2.0,0.5,100.0,-1
2.0,0.5,300.0,-1
2.0,0.5,500.0,-1
2.0,0.5,600.0,-1
2.0,0.5,800.0,-1
2.0,0.5,900.0,-1
2.0,0.5,1000.0,-1
2.0,0.5,1100.0,-1
2.0,0.5,1200.0,-1
2.0,0.5,1500.0,-1
2.0,0.5,2000.0,-1
2.4,0.5,100.0,-1
2.4,0.5,300.0,-1
2.4,0.5,500.0,-1
2.4,0.5,600.0,-1
2.4,0.5,800.0,-1
2.4,0.5,900.0,-1
2.4,0.5,1000.0,-1
2.4,0.5,1100.0,-1
2.4,0.5,1200.0,-1
2.4,0.5,1500.0,-1
2.4,0.5,2000.0,-1
2.8,0.5,100.0,-1
2.8,0.5,300.0,-1
2.8,0.5,500.0,-1
2.8,0.5,600.0,-1
2.8,0.5,800.0,-1
2.8,0.5,900.0,-1
2.8,0.5,1000.0,-1
2.8,0.5,1100.0,-1
2.8,0.5,1200.0,-1
2.8,0.5,1500.0,-1
2.8,0.5,2000.0,-1
3.2,0.5,100.0,-1
3.2,0.5,300.0,-1
3.2,0.5,500.0,-1
3.2,0.5,600.0,-1
3.2,0.5,800.0,-1
3.2,0.5,900.0,-1
3.2,0.5,1000.0,-1
3.2,0.5,1100.0,-1
3.2,0.5,1200.0,-1
3.2,0.5,1500.0,-1
3.2,0.5,2000.0,-1
3.6,0.5,100.0,-1
3.6,0.5,300.0,-1
3.6,0.5,500.0,-1
3.6,0.5,600.0,-1
3.6,0.5,800.0,-1
3.6,0.5,900.0,-1
3.6,0.5,1000.0,-1
3.6,0.5,1100.0,-1
3.6,0.5,1200.0,-1
3.6,0.5,1500.0,-1
3.6,0.5,2000.0,-1
4.0,0.5,100.0,-1
4.0,0.5,300.0,-1
4.0,0.5,500.0,-1
4.0,0.5,600.0,-1
4.0,0.5,800.0,-1
4.0,0.5,900.0,-1
4.0,0.5,1000.0,-1
4.0,0.5,1100.0,-1
4.0,0.5,1200.0,-1
4.0,0.5,1500.0,-1
4.0,0.5,2000.0,-1
4.4,0.5,100.0,-1
4.4,0.5,300.0,-1
4.4,0.5,500.0,-1
4.4,0.5,600.0,-1
4.4,0.5,800.0,-1
4.4,0.5,900.0,-1
4.4,0.5,1000.0,-1
4.4,0.5,1100.0,-1
4.4,0.5,1200.0,-1
4.4,0.5,1500.0,-1
4.4,0.5,2000.0,-1
4.8,0.5,100.0,-1
4.8,0.5,300.0,-1
4.8,0.5,500.0,-1
4.8,0.5,600.0,-1
4.8,0.5,800.0,-1
4.8,0.5,900.0,-1
4.8,0.5,1000.0,-1
4.8,0.5,1100.0,-1
4.8,0.5,1200.0,-1
4.8,0.5,1500.0,-1
4.8,0.5,2000.0,-1
5.2,0.5,100.0,-1
5.2,0.5,300.0,-1
5.2,0.5,500.0,-1
5.2,0.5,600.0,-1
5.2,0.5,800.0,-1
5.2,0.5,900.0,-1
5.2,0.5,1000.0,-1
5.2,0.5,1100.0,-1
5.2,0.5,1200.0,-1
5.2,0.5,1500.0,-1
5.2,0.5,2000.0,-1
5.6,0.5,100.0,-1
5.6,0.5,300.0,-1
5.6,0.5,500.0,-1
5.6,0.5,600.0,-1
5.6,0.5,800.0,-1
5.6,0.5,900.0,-1
5.6,0.5,1000.0,-1
5.6,0.5,1100.0,-1
5.6,0.5,1200.0,-1
5.6,0.5,1500.0,-1
5.6,0.5,2000.0,-1
6.0,0.5,100.0,-1
6.0,0.5,300.0,-1
6.0,0.5,500.0,-1
6.0,0.5,600.0,-1
6.0,0.5,800.0,-1
6.0,0.5,900.0,-1
6.0,0.5,1000.0,-1
6.0,0.5,1100.0,-1
6.0,0.5,1200.0,-1
6.0,0.5,1500.0,-1
6.0,0.5,2000.0,-1
6.4,0.5,100.0,-1
6.4,0.5,300.0,-1
6.4,0.5,500.0,-1
6.4,0.5,600.0,-1
6.4,0.5,800.0,-1
6.4,0.5,900.0,-1
6.4,0.5,1000.0,-1
6.4,0.5,1100.0,-1
6.4,0.5,1200.0,-1
6.4,0.5,1500.0,-1
6.4,0.5,2000.0,-1
6.8,0.5,100.0,-1
6.8,0.5,300.0,-1
6.8,0.5,500.0,-1
6.8,0.5,600.0,-1
6.8,0.5,800.0,-1
6.8,0.5,900.0,-1
6.8,0.5,1000.0,-1
6.8,0.5,1100.0,-1
6.8,0.5,1200.0,-1
6.8,0.5,1500.0,-1
6.8,0.5,2000.0,-1
7.2,0.5,100.0,-1
7.2,0.5,300.0,-1
7.2,0.5,500.0,-1
7.2,0.5,600.0,-1
7.2,0.5,800.0,-1
7.2,0.5,900.0,-1
7.2,0.5,1000.0,-1
7.2,0.5,1100.0,-1
7.2,0.5,1200.0,-1
7.2,0.5,1500.0,-1
7.2,0.5,2000.0,-1
7.6,0.5,100.0,-1
7.6,0.5,300.0,-1
7.6,0.5,500.0,-1
7.6,0.5,600.0,-1
7.6,0.5,800.0,-1
7.6,0.5,900.0,-1
7.6,0.5,1000.0,-1
7.6,0.5,1100.0,-1
7.6,0.5,1200.0,-1
7.6,0.5,1500.0,-1
7.6,0.5,2000.0,-1
0.0625,0.6,100.0,-1
0.0625,0.6,300.0,-1
0.0625,0.6,500.0,-1
0.0625,0.6,600.0,-1
0.0625,0.6,800.0,-1
0.0625,0.6,900.0,-1
0.0625,0.6,1000.0,-1
0.0625,0.6,1100.0,-1
0.0625,0.6,1200.0,-1
0.0625,0.6,1500.0,-1
0.0625,0.6,2000.0,-1
0.125,0.6,100.0,-1
0.125,0.6,300.0,-1
0.125,0.6,500.0,-1
0.125,0.6,600.0,-1
0.125,0.6,800.0,-1
0.125,0.6,900.0,-1
0.125,0.6,1000.0,-1
0.125,0.6,1100.0,-1
0.125,0.6,1200.0,-1
0.125,0.6,1500.0,-1
0.125,0.6,2000.0,-1
0.25,0.6,100.0,-1
0.25,0.6,300.0,-1
0.25,0.6,500.0,-1
0.25,0.6,600.0,-1
0.25,0.6,800.0,-1
0.25,0.6,900.0,-1
0.25,0.6,1000.0,-1
0.25,0.6,1100.0,-1
0.25,0.6,1200.0,-1
0.25,0.6,1500.0,-1
0.25,0.6,2000.0,-1
0.3,0.6,100.0,-1
0.3,0.6,300.0,-1
0.3,0.6,500.0,-1
0.3,0.6,600.0,-1
0.3,0.6,800.0,-1
0.3,0.6,900.0,-1
0.3,0.6,1000.0,-1
0.3,0.6,1100.0,-1
0.3,0.6,1200.0,-1
0.3,0.6,1500.0,-1
0.3,0.6,2000.0,-1
0.5,0.6,100.0,-1
0.5,0.6,300.0,-1
0.5,0.6,500.0,-1
0.5,0.6,600.0,-1
0.5,0.6,800.0,-1
0.5,0.6,900.0,-1
0.5,0.6,1000.0,-1
0.5,0.6,1100.0,-1
0.5,0.6,1200.0,-1
0.5,0.6,1500.0,-1
0.5,0.6,2000.0,-1
0.6,0.6,100.0,-1
0.6,0.6,300.0,-1
0.6,0.6,500.0,-1
0.6,0.6,600.0,-1
0.6,0.6,800.0,-1
0.6,0.6,900.0,-1
0.6,0.6,1000.0,-1
0.6,0.6,1100.0,-1
0.6,0.6,1200.0,-1
0.6,0.6,1500.0,-1
0.6,0.6,2000.0,-1
0.8,0.6,100.0,-1
0.8,0.6,300.0,-1
0.8,0.6,500.0,-1
0.8,0.6,600.0,-1
0.8,0.6,800.0,-1
0.8,0.6,900.0,-1
0.8,0.6,1000.0,-1
0.8,0.6,1100.0,-1
0.8,0.6,1200.0,-1
0.8,0.6,1500.0,-1
0.8,0.6,2000.0,-1
1.0,0.6,100.0,-1
1.0,0.6,300.0,-1
1.0,0.6,500.0,-1
1.0,0.6,600.0,-1
1.0,0.6,800.0,-1
1.0,0.6,900.0,-1
1.0,0.6,1000.0,-1
1.0,0.6,1100.0,-1
1.0,0.6,1200.0,-1
1.0,0.6,1500.0,-1
1.0,0.6,2000.0,-1
1.2,0.6,100.0,-1
1.2,0.6,300.0,-1
1.2,0.6,500.0,-1
1.2,0.6,600.0,-1
1.2,0.6,800.0,-1
1.2,0.6,900.0,-1
1.2,0.6,1000.0,-1
1.2,0.6,1100.0,-1
1.2,0.6,1200.0,-1
1.2,0.6,1500.0,-1
1.2,0.6,2000.0,-1
1.6,0.6,100.0,-1
1.6,0.6,300.0,-1
1.6,0.6,500.0,-1
1.6,0.6,600.0,-1
1.6,0.6,800.0,-1
1.6,0.6,900.0,-1
1.6,0.6,1000.0,-1
1.6,0.6,1100.0,-1
1.6,0.6,1200.0,-1
1.6,0.6,1500.0,-1
1.6,0.6,2000.0,-1
2.0,0.6,100.0,-1
2.0,0.6,300.0,-1
2.0,0.6,500.0,-1
2.0,0.6,600.0,-1
2.0,0.6,800.0,-1
2.0,0.6,900.0,-1
2.0,0.6,1000.0,-1
2.0,0.6,1100.0,-1
2.0,0.6,1200.0,-1
2.0,0.6,1500.0,-1
2.0,0.6,2000.0,-1
2.4,0.6,100.0,-1
2.4,0.6,300.0,-1
2.4,0.6,500.0,-1
2.4,0.6,600.0,-1
2.4,0.6,800.0,-1
2.4,0.6,900.0,-1
2.4,0.6,1000.0,-1
2.4,0.6,1100.0,-1
2.4,0.6,1200.0,-1
2.4,0.6,1500.0,-1
2.4,0.6,2000.0,-1
2.8,0.6,100.0,-1
2.8,0.6,300.0,-1
2.8,0.6,500.0,-1
2.8,0.6,600.0,-1
2.8,0.6,800.0,-1
2.8,0.6,900.0,-1
2.8,0.6,1000.0,-1
2.8,0.6,1100.0,-1
2.8,0.6,1200.0,-1
2.8,0.6,1500.0,-1
2.8,0.6,2000.0,-1
3.2,0.6,100.0,-1
3.2,0.6,300.0,-1
3.2,0.6,500.0,-1
3.2,0.6,600.0,-1
3.2,0.6,800.0,-1
3.2,0.6,900.0,-1
3.2,0.6,1000.0,-1
3.2,0.6,1100.0,-1
3.2,0.6,1200.0,-1
3.2,0.6,1500.0,-1
3.2,0.6,2000.0,-1
3.6,0.6,100.0,-1
3.6,0.6,300.0,-1
3.6,0.6,500.0,-1
3.6,0.6,600.0,-1
3.6,0.6,800.0,-1
3.6,0.6,900.0,-1
3.6,0.6,1000.0,-1
3.6,0.6,1100.0,-1
3.6,0.6,1200.0,-1
3.6,0.6,1500.0,-1
3.6,0.6,2000.0,-1
4.0,0.6,100.0,-1
4.0,0.6,300.0,-1
4.0,0.6,500.0,-1
4.0,0.6,600.0,-1
4.0,0.6,800.0,-1
4.0,0.6,900.0,-1
4.0,0.6,1000.0,-1
4.0,0.6,1100.0,-1
4.0,0.6,1200.0,-1
4.0,0.6,1500.0,-1
4.0,0.6,2000.0,-1
4.4,0.6,100.0,-1
4.4,0.6,300.0,-1
4.4,0.6,500.0,-1
4.4,0.6,600.0,-1
4.4,0.6,800.0,-1
4.4,0.6,900.0,-1
4.4,0.6,1000.0,-1
4.4,0.6,1100.0,-1
4.4,0.6,1200.0,-1
4.4,0.6,1500.0,-1
4.4,0.6,2000.0,-1
4.8,0.6,100.0,-1
4.8,0.6,300.0,-1
4.8,0.6,500.0,-1
4.8,0.6,600.0,-1
4.8,0.6,800.0,-1
4.8,0.6,900.0,-1
4.8,0.6,1000.0,-1
4.8,0.6,1100.0,-1
4.8,0.6,1200.0,-1
4.8,0.6,1500.0,-1
4.8,0.6,2000.0,-1
5.2,0.6,100.0,-1
5.2,0.6,300.0,-1
5.2,0.6,500.0,-1
5.2,0.6,600.0,-1
5.2,0.6,800.0,-1
5.2,0.6,900.0,-1
5.2,0.6,1000.0,-1
5.2,0.6,1100.0,-1
5.2,0.6,1200.0,-1
5.2,0.6,1500.0,-1
5.2,0.6,2000.0,-1
5.6,0.6,100.0,-1
5.6,0.6,300.0,-1
5.6,0.6,500.0,-1
5.6,0.6,600.0,-1
5.6,0.6,800.0,-1
5.6,0.6,900.0,-1
5.6,0.6,1000.0,-1
5.6,0.6,1100.0,-1
5.6,0.6,1200.0,-1
5.6,0.6,1500.0,-1
5.6,0.6,2000.0,-1
6.0,0.6,100.0,-1
6.0,0.6,300.0,-1
6.0,0.6,500.0,-1
6.0,0.6,600.0,-1
6.0,0.6,800.0,-1
6.0,0.6,900.0,-1
6.0,0.6,1000.0,-1
6.0,0.6,1100.0,-1
6.0,0.6,1200.0,-1
6.0,0.6,1500.0,-1
6.0,0.6,2000.0,-1
6.4,0.6,100.0,-1
6.4,0.6,300.0,-1
6.4,0.6,500.0,-1
6.4,0.6,600.0,-1
6.4,0.6,800.0,-1
6.4,0.6,900.0,-1
6.4,0.6,1000.0,-1
6.4,0.6,1100.0,-1
6.4,0.6,1200.0,-1
6.4,0.6,1500.0,-1
6.4,0.6,2000.0,-1
6.8,0.6,100.0,-1
6.8,0.6,300.0,-1
6.8,0.6,500.0,-1
6.8,0.6,600.0,-1
6.8,0.6,800.0,-1
6.8,0.6,900.0,-1
6.8,0.6,1000.0,-1
6.8,0.6,1100.0,-1
6.8,0.6,1200.0,-1
6.8,0.6,1500.0,-1
6.8,0.6,2000.0,-1
7.2,0.6,100.0,-1
7.2,0.6,300.0,-1
7.2,0.6,500.0,-1
7.2,0.6,600.0,-1
7.2,0.6,800.0,-1
7.2,0.6,900.0,-1
7.2,0.6,1000.0,-1
7.2,0.6,1100.0,-1
7.2,0.6,1200.0,-1
7.2,0.6,1500.0,-1
7.2,0.6,2000.0,-1
7.6,0.6,100.0,-1
7.6,0.6,300.0,-1
7.6,0.6,500.0,-1
7.6,0.6,600.0,-1
7.6,0.6,800.0,-1
7.6,0.6,900.0,-1
7.6,0.6,1000.0,-1
7.6,0.6,1100.0,-1
7.6,0.6,1200.0,-1
7.6,0.6,1500.0,-1
7.6,0.6,2000.0,-1
0.0625,0.8,100.0,-1
0.0625,0.8,300.0,-1
0.0625,0.8,500.0,-1
0.0625,0.8,600.0,-1
0.0625,0.8,800.0,-1
0.0625,0.8,900.0,-1
0.0625,0.8,1000.0,-1
0.0625,0.8,1100.0,-1
0.0625,0.8,1200.0,-1
0.0625,0.8,1500.0,-1
0.0625,0.8,2000.0,-1
0.125,0.8,100.0,-1
0.125,0.8,300.0,-1
0.125,0.8,500.0,-1
0.125,0.8,600.0,-1
0.125,0.8,800.0,-1
0.125,0.8,900.0,-1
0.125,0.8,1000.0,-1
0.125,0.8,1100.0,-1
0.125,0.8,1200.0,-1
0.125,0.8,1500.0,-1
0.125,0.8,2000.0,-1
0.25,0.8,100.0,-1
0.25,0.8,300.0,-1
0.25,0.8,500.0,-1
0.25,0.8,600.0,-1
0.25,0.8,800.0,-1
0.25,0.8,900.0,-1
0.25,0.8,1000.0,-1
0.25,0.8,1100.0,-1
0.25,0.8,1200.0,-1
0.25,0.8,1500.0,-1
0.25,0.8,2000.0,-1
0.3,0.8,100.0,-1
0.3,0.8,300.0,-1
0.3,0.8,500.0,-1
0.3,0.8,600.0,-1
0.3,0.8,800.0,-1
0.3,0.8,900.0,-1
0.3,0.8,1000.0,-1
0.3,0.8,1100.0,-1
0.3,0.8,1200.0,-1
0.3,0.8,1500.0,-1
0.3,0.8,2000.0,-1
0.5,0.8,100.0,-1
0.5,0.8,300.0,-1
0.5,0.8,500.0,-1
0.5,0.8,600.0,-1
0.5,0.8,800.0,-1
0.5,0.8,900.0,-1
0.5,0.8,1000.0,-1
0.5,0.8,1100.0,-1
0.5,0.8,1200.0,-1
0.5,0.8,1500.0,-1
0.5,0.8,2000.0,-1
0.6,0.8,100.0,-1
0.6,0.8,300.0,-1
0.6,0.8,500.0,-1
0.6,0.8,600.0,-1
0.6,0.8,800.0,-1
0.6,0.8,900.0,-1
0.6,0.8,1000.0,-1
0.6,0.8,1100.0,-1
0.6,0.8,1200.0,-1
0.6,0.8,1500.0,-1
0.6,0.8,2000.0,-1
0.8,0.8,100.0,-1
0.8,0.8,300.0,-1
0.8,0.8,500.0,-1
0.8,0.8,600.0,-1
0.8,0.8,800.0,-1
0.8,0.8,900.0,-1
0.8,0.8,1000.0,-1
0.8,0.8,1100.0,-1
0.8,0.8,1200.0,-1
0.8,0.8,1500.0,-1
0.8,0.8,2000.0,-1
1.0,0.8,100.0,-1
1.0,0.8,300.0,-1
1.0,0.8,500.0,-1
1.0,0.8,600.0,-1
1.0,0.8,800.0,-1
1.0,0.8,900.0,-1
1.0,0.8,1000.0,-1
1.0,0.8,1100.0,-1
1.0,0.8,1200.0,-1
1.0,0.8,1500.0,-1
1.0,0.8,2000.0,-1
1.2,0.8,500.0,-1
1.2,0.8,800.0,-1
1.2,0.8,900.0,-1
