Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
3.8,3.8,1300.0,0
0.2,8.1,225.0,0
8.1,2.0,75.0,0
0.6,1.3,50.0,0
0.1,8.1,2000.0,0
8.1,8.1,1250.0,0
0.1,3.1,2050.0,0
8.1,2.1,1250.0,0
4.5,0.2,625.0,0
3.2,8.1,1225.0,0
0.1,4.4,775.0,1
1.1,0.8,1075.0,1
2.5,5.1,50.0,1
1.1,5.5,1525.0,1
6.8,5.1,1375.0,0
3.8,8.1,50.0,1
4.9,2.4,50.0,0
7.6,0.1,675.0,0
5.3,1.4,1250.0,0
0.5,8.1,1325.0,0
0.1,3.0,1375.0,1
5.6,7.4,1375.0,0
2.0,0.2,500.0,0
0.4,3.8,175.0,0
0.1,2.1,600.0,0
0.1,5.6,2050.0,0
0.9,6.0,400.0,1
3.0,1.6,1325.0,0
2.9,1.3,50.0,0
3.4,6.0,1425.0,1
6.3,0.8,250.0,1
2.0,7.1,50.0,0
