Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
0.9,7.8,1550.0,0
8.1,0.5,375.0,1
0.1,0.1,850.0,1
8.1,7.1,1200.0,0
2.5,5.4,50.0,0
4.6,2.8,1300.0,1
0.1,2.6,2050.0,1
3.6,0.9,100.0,1
0.1,4.4,925.0,0
0.1,8.1,400.0,0
4.4,6.6,1350.0,0
8.1,1.4,1300.0,1
0.3,2.5,150.0,0
6.3,3.1,50.0,0
5.2,0.1,825.0,0
4.2,8.1,50.0,1
1.6,2.2,1300.0,0
0.1,5.7,2050.0,1
7.2,4.3,1300.0,0
0.1,0.1,1650.0,0
2.1,5.0,1400.0,0
2.6,0.6,700.0,1
0.3,5.6,350.0,1
0.1,3.8,1525.0,1
5.8,1.0,300.0,1
6.2,8.1,1425.0,0
1.4,0.5,200.0,1
2.0,7.6,100.0,0
0.1,5.9,1350.0,1
7.4,0.1,900.0,0
3.1,8.1,1550.0,0
0.2,8.0,2050.0,0
