Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
5.7,0.3,450.0,0
0.1,8.1,2050.0,0
8.1,8.1,1175.0,1
1.5,6.9,125.0,0
0.1,2.0,1300.0,1
5.0,3.9,1400.0,1
0.9,1.2,50.0,1
8.1,4.1,50.0,1
3.4,8.1,1275.0,0
8.1,1.3,1225.0,0
0.2,4.3,2050.0,0
3.5,0.7,1175.0,0
0.1,4.1,575.0,1
1.7,5.1,1300.0,1
8.1,4.8,1250.0,1
3.8,2.0,50.0,1
0.2,0.1,725.0,0
5.8,6.6,1350.0,1
4.0,8.1,50.0,0
8.1,1.4,225.0,1
2.1,4.2,50.0,1
2.9,0.1,500.0,0
0.6,7.8,1375.0,1
0.1,6.7,650.0,1
2.5,2.8,1425.0,0
5.9,0.4,1075.0,0
6.1,2.6,50.0,0
7.8,0.1,725.0,0
0.9,6.2,1775.0,0
3.7,5.9,1425.0,0
1.7,1.5,950.0,1
0.1,4.0,1525.0,1
