Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
0.1,0.8,400.0,1
7.7,8.1,1300.0,0
6.6,0.1,2050.0,0
0.3,5.9,2050.0,0
8.1,1.7,150.0,1
1.5,8.1,150.0,0
0.1,0.5,2000.0,1
3.7,3.3,1250.0,1
3.1,8.1,1350.0,1
0.1,5.4,950.0,1
8.1,2.7,1275.0,1
3.9,2.0,50.0,0
5.6,0.4,900.0,1
1.2,4.4,125.0,0
0.4,2.1,1225.0,0
6.2,5.3,1350.0,0
2.6,0.4,950.0,0
0.2,8.1,1575.0,0
2.3,5.6,1325.0,0
6.1,3.2,50.0,0
0.1,3.8,1675.0,0
5.8,0.6,250.0,1
0.3,3.2,675.0,1
7.9,0.4,1100.0,0
2.5,0.4,350.0,1
0.3,6.3,400.0,1
5.4,7.6,1350.0,0
2.8,6.2,50.0,0
5.8,2.3,1225.0,0
1.5,2.1,50.0,1
0.3,0.1,950.0,0
1.7,3.8,1075.0,0
