Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase
4.0,8.0,1
0.5,0.5,1
7.8,1.1,1
8.1,7.5,1
2.2,4.3,0
3.6,0.6,0
5.7,0.7,0
2.8,6.3,1
