Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
4.0,8.0,-1,3043971WBX52
0.5,0.5,-1,331090GBF307
7.8,1.1,-1,222090B70TQF
8.1,7.5,-1,901339R4YGG5
2.2,4.3,-1,273731OCAZDE
3.6,0.6,-1,37014120WFXA
5.7,0.7,-1,7921273YT8IJ
2.8,6.3,-1,031149ZW57ZR
