Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase
1.5,6.8,0
8.1,1.5,1
8.0,8.1,1
2.5,1.3,1
7.4,4.8,1
0.8,3.8,0
5.3,2.1,1
3.4,8.1,1
