Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
6.8,2.0,1150.0,1
0.1,8.1,1750.0,0
0.1,2.9,50.0,0
0.1,0.1,2050.0,1
8.1,8.1,1300.0,0
3.1,8.1,50.0,0
1.9,3.7,1250.0,0
8.1,3.8,50.0,1
4.4,0.8,150.0,0
3.8,7.6,1225.0,1
0.1,6.9,725.0,0
1.2,0.4,750.0,0
0.1,4.5,2050.0,0
6.3,5.3,1225.0,1
4.2,0.6,925.0,1
1.6,5.5,150.0,1
8.0,1.3,475.0,1
0.1,1.4,1375.0,0
1.6,0.2,50.0,0
0.1,5.7,1400.0,1
4.5,3.3,1175.0,1
8.1,3.8,1425.0,0
5.8,2.8,50.0,0
1.4,7.7,1250.0,1
0.6,2.3,1900.0,0
0.1,4.4,500.0,0
3.5,5.3,1300.0,1
5.8,1.3,575.0,1
1.2,8.1,350.0,1
2.4,1.6,1125.0,1
6.0,7.5,1200.0,1
8.1,0.4,975.0,1
