Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_100_2_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
0.1,0.1,0,0,0.8115301087511853,0.18846989124881475
0.2,0.1,-1,0,0.8050941306878485,0.19490586931215148
0.3,0.1,-1,0,0.7986088850279884,0.20139111497201156
0.4,0.1,-1,0,0.7922856175133575,0.20771438248664253
0.5,0.1,-1,0,0.7863684973361842,0.2136315026638158
0.6,0.1,-1,0,0.781125058425232,0.21887494157476794
0.7,0.1,-1,0,0.7768329886176844,0.22316701138231565
0.8,0.1,-1,0,0.7737643955800877,0.2262356044199123
0.9,0.1,-1,0,0.7721690893729374,0.22783091062706262
1.0,0.1,-1,0,0.7722585007974203,0.2277414992025797
1.1,0.1,-1,0,0.7741916173947629,0.22580838260523706
1.2,0.1,-1,0,0.7780638936565083,0.2219361063434917
1.3,0.1,-1,0,0.7838996560002442,0.21610034399975575
1.4,0.1,-1,0,0.791648221495052,0.20835177850494802
1.5,0.1,-1,0,0.801183835236543,0.19881616476345698
1.6,0.1,-1,0,0.8123095527654414,0.18769044723455863
1.7,0.1,-1,0,0.8247652258850167,0.17523477411498334
1.8,0.1,-1,0,0.8382396534132113,0.16176034658678873
1.9,0.1,-1,0,0.8523866420295008,0.14761335797049924
2.0,0.1,-1,0,0.8668441907774422,0.13315580922255776
2.1,0.1,-1,0,0.881255379222921,0.11874462077707904
2.2,0.1,-1,0,0.895288997274065,0.10471100272593503
2.3,0.1,-1,0,0.9086577098078124,0.09134229019218765
2.4,0.1,-1,0,0.9211317358921178,0.07886826410788217
2.5,0.1,-1,0,0.9325466421911415,0.06745335780885853
2.6,0.1,-1,0,0.9428047654461125,0.05719523455388753
2.7,0.1,-1,0,0.951870762471799,0.048129237528200974
2.8,0.1,-1,0,0.9597626025795307,0.04023739742046928
2.9,0.1,-1,0,0.9665397967751232,0.03346020322487675
3.0,0.1,-1,0,0.9722907378098853,0.027709262190114714
