Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
0.6,1.5,-1,212260P3B4XJ
8.1,1.2,-1,0132127C56A4
1.9,7.8,-1,761666AF64KW
4.3,0.9,-1,1620006LV8J1
1.1,4.9,-1,1676630ZAYC3
2.1,0.6,-1,283213RCRWY0
6.0,1.0,-1,72823650UT82
0.8,3.0,-1,622882771H2W
