Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
5.1,1.7,75.0,0
0.1,8.1,1875.0,0
8.1,8.1,1225.0,0
1.0,0.1,2050.0,0
1.6,8.1,75.0,0
0.1,3.1,750.0,1
8.1,2.8,1125.0,1
3.9,5.4,1375.0,0
3.8,1.0,1125.0,0
0.2,4.0,1775.0,0
2.4,4.4,50.0,0
0.1,7.6,925.0,1
1.8,0.2,375.0,0
0.1,0.1,1200.0,1
8.1,3.3,50.0,0
6.5,0.4,725.0,1
2.5,8.1,1400.0,0
6.7,5.5,1100.0,1
2.1,3.2,1275.0,0
5.2,7.9,1200.0,0
0.6,5.6,475.0,1
5.3,3.2,1200.0,0
1.4,5.8,1450.0,1
4.2,0.1,500.0,0
2.7,2.0,50.0,1
0.5,1.7,1625.0,0
8.1,2.0,550.0,1
1.7,1.1,900.0,1
0.9,2.1,325.0,1
0.1,0.1,675.0,0
0.1,6.0,1875.0,0
0.5,8.1,1400.0,0
