Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
0.6,4.3,-1,200810WQ88HR
8.1,3.0,-1,04140263XYM7
2.4,8.1,-1,7073982GNRYZ
4.0,2.0,-1,0832878VNEQC
1.2,1.5,-1,200210SN5C5I
5.8,3.3,-1,283029GJPWET
0.9,6.5,-1,049718UO2ZPM
1.4,3.0,-1,8044809BCIZC
