Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase
0.6,4.3,0
8.1,3.0,0
2.4,8.1,1
4.0,2.0,0
1.2,1.5,1
5.8,3.3,0
0.9,6.5,0
1.4,3.0,1
