Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase,Barcode
2.0,6.5,-1,071053FAXN6S
8.1,3.3,-1,331301B24JV7
4.1,3.1,-1,353023HAHWD1
3.4,8.1,-1,331203AO6014
6.1,3.9,-1,335372ONARDU
2.5,4.4,-1,350103K019ZZ
1.9,8.0,-1,3037237GZQ2L
3.9,4.5,-1,02327165ZXJD
