Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
1.1,0.5,-1,278450R9WL5D
6.6,1.1,-1,600018SHQ8PI
1.1,4.9,-1,247241VYWE5V
3.4,0.8,-1,676474ARCP01
0.7,2.5,-1,56720086NHSD
5.1,1.0,-1,677741PA0NDH
2.2,0.6,-1,478561GRUX21
0.6,1.4,-1,427744Y5P47Q
