Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
0.6,7.3,1
8.1,3.8,1
0.1,0.6,0
4.1,2.2,0
0.1,4.0,0
5.9,3.5,1
2.1,1.4,1
0.8,5.6,1
