Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
0.3,4.8,275.0,0
8.1,0.1,1075.0,1
6.4,8.1,1425.0,0
0.1,6.3,2000.0,1
8.1,4.3,50.0,1
3.8,0.2,100.0,0
3.1,2.3,1375.0,1
3.5,8.1,50.0,0
0.1,0.1,750.0,0
8.1,4.2,1375.0,0
2.3,8.1,1275.0,0
0.1,4.2,1250.0,1
7.3,0.8,225.0,1
0.1,8.1,575.0,1
4.4,5.4,1275.0,1
4.8,0.1,900.0,1
0.9,1.7,50.0,0
6.0,2.1,1350.0,0
0.3,1.4,1375.0,0
0.1,2.7,675.0,0
2.0,5.7,1525.0,1
2.5,0.9,625.0,1
2.5,5.7,50.0,1
0.1,8.1,1575.0,1
8.1,6.6,1250.0,0
5.4,1.8,50.0,0
0.1,4.1,1800.0,0
8.1,2.3,1100.0,1
1.4,7.6,150.0,1
4.3,7.5,1425.0,1
1.8,3.6,50.0,0
6.4,5.6,1425.0,0
