Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
1.9,7.3,250.0,1
8.1,0.1,875.0,0
0.1,4.0,2050.0,1
8.1,8.0,1350.0,0
0.1,0.3,475.0,0
4.6,3.9,1300.0,1
4.7,2.2,50.0,0
1.3,8.1,1450.0,1
0.1,4.2,750.0,0
4.0,0.2,900.0,0
8.1,3.8,50.0,1
8.1,3.3,1275.0,0
1.5,2.0,1350.0,1
4.7,7.4,1300.0,0
1.4,2.9,50.0,0
1.8,5.1,1375.0,1
0.1,6.9,2050.0,0
7.3,1.1,225.0,1
6.0,1.5,1275.0,0
2.7,0.5,250.0,1
6.7,5.6,1375.0,0
2.6,5.1,50.0,1
4.1,8.0,50.0,1
0.1,6.6,600.0,0
1.6,0.4,925.0,0
5.2,0.4,400.0,0
3.8,1.8,1350.0,0
0.1,3.7,1475.0,1
0.1,2.0,850.0,0
0.6,4.9,250.0,1
0.2,6.3,1550.0,0
2.7,6.9,1225.0,1
