Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
3.4,1.2,0
0.4,8.0,0
8.1,2.9,1
0.3,3.9,1
0.7,1.2,1
5.6,2.4,0
0.2,5.8,1
2.0,0.6,0
