Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
7.0,3.4,1
0.4,7.8,0
0.7,1.1,1
3.9,2.1,0
0.3,4.4,1
2.5,1.0,0
0.4,6.1,1
0.2,2.7,0
