Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
3.4,2.0,-1,991827E51FX6
2.1,8.1,-1,2098770TA2TQ
8.1,3.5,-1,029200F3J48G
0.9,4.6,-1,728723D21HBS
0.9,0.1,-1,932879UJ3V4H
5.5,3.4,-1,779213OOOEU5
1.1,2.3,-1,372973EEICIO
2.9,0.1,-1,312138ZOFJIQ
