Conc_AP_Lys_100_(mM),Conc_AP_Asp_30_(mM),Phase
4.1,1.6,1
0.2,7.9,0
0.2,3.5,1
8.1,2.8,0
0.7,0.3,0
0.2,5.7,1
6.1,2.1,1
2.4,1.0,1
