Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase,Barcode
1.1,0.1,-1,011104S086E4
0.2,8.1,-1,400241KQ7EKC
8.1,3.0,-1,27141434QPWZ
0.1,4.0,-1,444701V1QUU5
4.4,2.0,-1,01444396AIYH
0.1,1.9,-1,1434346ZBFFZ
0.1,6.1,-1,231011SKD7AX
6.2,2.7,-1,11130286C4BI
