Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
1.1,0.1,0
0.2,8.1,0
8.1,3.0,0
0.1,4.0,0
4.4,2.0,1
0.1,1.9,0
0.1,6.1,0
6.2,2.7,0
