Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
0.1,2.8,1025.0,1
8.1,8.1,1350.0,1
7.3,1.7,75.0,0
3.1,8.1,50.0,0
5.6,2.9,1425.0,1
2.6,7.3,1350.0,1
2.8,3.3,50.0,1
3.5,0.1,775.0,0
0.2,6.4,600.0,0
8.1,1.0,950.0,1
0.1,5.3,1575.0,1
8.1,4.8,1200.0,1
2.8,4.2,1250.0,1
5.5,6.2,1450.0,1
1.0,1.2,400.0,1
4.5,0.9,125.0,0
2.3,1.5,1300.0,0
0.2,3.8,375.0,0
2.3,8.1,700.0,1
1.7,5.8,50.0,0
0.1,7.7,1175.0,1
6.0,0.2,625.0,0
4.8,8.1,1075.0,1
5.1,0.8,1175.0,1
0.7,0.5,950.0,1
0.8,5.0,1025.0,0
7.7,2.7,1300.0,1
1.2,3.2,1450.0,1
8.1,2.2,525.0,1
3.0,1.5,425.0,1
8.1,3.5,50.0,1
4.5,4.5,1475.0,0
