Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
3.3,1.3,0
1.0,7.5,0
8.1,2.8,1
0.8,3.9,1
0.8,1.4,1
5.7,2.2,1
0.9,5.7,0
2.0,0.8,0
