Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
1.2,4.5,150.0,
8.1,0.1,1175.0,
0.1,0.4,2050.0,
6.7,8.1,1350.0,
0.1,7.6,2050.0,
8.0,3.6,50.0,
3.8,3.4,1300.0,
0.1,0.1,750.0,
4.6,0.4,325.0,
3.5,8.1,50.0,
8.1,4.2,1325.0,
2.7,7.8,1275.0,
0.1,4.0,1625.0,
0.1,8.0,500.0,
1.5,1.2,50.0,
7.8,0.7,375.0,
3.1,0.6,1000.0,
0.8,1.4,1375.0,
4.9,6.0,1250.0,
5.7,1.5,1100.0,
5.6,2.6,50.0,
2.0,5.3,1300.0,
1.5,6.9,100.0,
0.1,2.6,350.0,
0.8,7.0,1525.0,
8.1,6.4,1200.0,
2.2,0.1,500.0,
3.4,2.4,50.0,
6.0,3.5,1325.0,
0.2,5.4,2050.0,
0.1,2.6,2050.0,
1.7,3.2,1175.0,
