Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
1.2,3.2,0
8.1,1.4,1
2.5,8.1,1
4.3,0.9,0
1.6,0.4,0
1.8,5.7,1
6.2,1.2,0
0.8,1.7,0
