Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase,Barcode
4.5,1.8,-1,331777I088RL
0.6,8.1,-1,71271754C58L
0.3,3.6,-1,081737JYKZP7
7.7,3.1,-1,622726YPWU92
1.7,1.0,-1,728671FQTGWW
0.3,5.9,-1,713378WHK0B2
6.0,2.7,-1,7012210AAB1B
0.7,2.1,-1,8617178SLMIV
