Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
4.5,1.8,0
0.6,8.1,1
0.3,3.6,0
7.7,3.1,1
1.7,1.0,1
0.3,5.9,1
6.0,2.7,1
0.7,2.1,1
