Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
1.7,1.3,1150.0,1
8.1,8.1,1650.0,0
8.1,3.3,50.0,0
0.1,8.1,250.0,0
0.1,7.7,2050.0,1
5.3,8.1,50.0,1
2.5,3.7,50.0,1
6.5,3.3,1250.0,0
3.7,6.9,1350.0,0
0.1,0.1,150.0,0
0.1,0.5,2050.0,1
0.1,4.9,1250.0,1
4.9,2.1,550.0,1
2.9,6.5,350.0,1
5.3,4.9,50.0,1
3.3,3.7,1350.0,0
0.1,4.9,350.0,0
8.1,5.3,1550.0,0
2.5,0.9,450.0,1
8.1,2.5,750.0,1
1.3,7.7,1450.0,0
0.1,2.5,1550.0,0
0.5,2.5,250.0,1
5.7,8.1,1550.0,0
0.1,0.1,750.0,0
5.7,5.3,1550.0,0
0.1,0.1,1450.0,0
4.1,2.1,1050.0,1
2.1,5.7,1450.0,0
6.5,3.3,450.0,1
2.1,0.1,2050.0,0
0.1,6.1,1650.0,1
