Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase
2.3,1.1,0
1.9,7.9,1
5.5,3.3,1
1.0,4.5,0
3.6,2.6,1
1.0,2.5,0
1.0,6.2,0
1.0,1.1,1
