Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase
4.9,2.1,0
1.4,8.1,0
1.1,3.9,0
8.1,3.3,0
2.4,5.9,1
3.4,3.8,1
6.8,1.9,0
0.8,5.6,0
