Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_100_2_(mM),Phase,Barcode
0.4,7.9,-1,79670084K78O
6.4,3.3,-1,1736708HH3S3
0.5,1.0,-1,00363645YUSW
0.3,4.5,-1,307077EFUHPH
3.5,1.8,-1,297360V7A5JC
0.3,2.7,-1,7361006KS44Y
0.4,6.2,-1,160700ZGLVZR
2.1,0.9,-1,326179WXAGN1
