Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
0.6,3.8,1375.0,1
8.1,3.4,50.0,1
8.0,8.1,1400.0,0
2.8,8.1,100.0,0
2.3,1.1,50.0,1
6.1,2.7,1325.0,0
2.8,8.1,1325.0,1
0.2,0.1,2050.0,0
0.1,0.1,900.0,1
8.1,0.2,700.0,0
1.0,4.7,400.0,1
3.9,0.5,850.0,1
5.4,6.0,1350.0,1
0.1,6.9,1700.0,0
5.5,1.6,200.0,1
0.1,7.6,425.0,0
8.1,4.9,1325.0,0
3.2,2.7,1275.0,0
0.2,2.1,425.0,1
2.8,5.4,1325.0,0
0.2,1.3,1475.0,0
2.7,5.7,50.0,1
8.1,1.7,1150.0,1
6.1,0.8,975.0,1
1.9,0.3,575.0,0
0.1,2.3,1975.0,0
0.1,3.6,825.0,0
5.9,8.1,1250.0,1
1.9,3.3,50.0,0
1.8,1.3,1050.0,1
7.7,1.5,275.0,1
0.1,0.1,275.0,0
