Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
7.4,0.8,1125.0,1
0.1,8.1,325.0,0
0.1,2.2,2025.0,0
0.8,0.5,150.0,1
6.3,8.1,1350.0,1
5.4,3.0,50.0,0
0.1,6.9,1550.0,1
3.6,3.7,1275.0,0
4.1,7.9,50.0,1
0.3,4.1,650.0,1
0.3,0.1,1150.0,0
8.1,4.6,1275.0,1
4.1,0.3,650.0,0
8.1,0.2,2050.0,0
7.6,0.2,225.0,0
2.2,5.2,50.0,0
3.3,6.9,1350.0,0
0.7,4.0,1450.0,1
8.1,3.3,50.0,0
2.7,1.2,1175.0,1
3.3,1.4,75.0,1
5.6,5.4,1350.0,0
6.0,2.8,1250.0,0
1.0,3.0,125.0,0
0.1,6.4,750.0,0
0.1,2.4,1050.0,1
1.8,0.4,675.0,1
5.4,0.7,175.0,0
8.1,6.8,1325.0,0
6.3,0.2,675.0,0
2.0,7.4,125.0,0
5.1,0.9,1100.0,1
