Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
4.0,0.9,0
2.7,8.1,1
1.2,4.1,0
8.1,1.5,1
0.6,0.7,0
1.9,6.1,0
6.1,1.1,0
0.9,2.4,0
