Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase
1.7,0.5,0
2.0,8.0,1
8.1,3.4,1
1.0,4.3,0
4.4,3.0,0
0.8,2.3,0
1.0,6.3,0
2.9,1.9,1
