Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase
6.7,7.7,1
0.1,0.1,0
8.1,0.1,0
0.1,6.8,0
4.1,3.3,1
8.0,4.0,1
3.3,8.1,1
0.7,3.4,0
