Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
6.7,7.7,-1,2411467VIZQT
0.1,0.1,-1,649746UISP3G
8.1,0.1,-1,661742YMZWLZ
0.1,6.8,-1,441474G2BL07
4.1,3.3,-1,971495W6EWJL
8.0,4.0,-1,6194475SOFCZ
3.3,8.1,-1,7247263BMNFJ
0.7,3.4,-1,1465225O3L7I
