Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase
0.7,3.1,0
7.9,1.3,1
2.5,7.9,1
4.0,0.7,0
1.3,0.7,1
1.3,5.5,1
6.1,1.0,0
1.9,6.7,1
