Conc_AP_Lys_100_(mM),Conc_AP_Asp_100_(mM),Phase,Barcode
7.3,2.7,-1,812308DSRFQ1
2.0,8.1,-1,823268ESODC6
2.4,3.1,-1,007688AXJ0S7
4.7,0.8,-1,0022108CCUNR
3.1,5.7,-1,882708TI9YAT
4.5,2.9,-1,2128220G9COU
6.6,0.9,-1,228286945DIF
3.3,1.7,-1,816613E2W6ZH
