Conc_AP_Lys_100_(mM),Conc_AP_Asp_100_(mM),Phase
7.3,2.7,1
2.0,8.1,1
2.4,3.1,1
4.7,0.8,1
3.1,5.7,1
4.5,2.9,1
6.6,0.9,1
3.3,1.7,1
