Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
0.1,6.8,1925.0,0
8.1,0.6,250.0,1
3.6,7.5,50.0,0
0.1,0.6,625.0,1
8.1,6.0,1275.0,0
4.3,2.5,2050.0,0
0.2,5.3,675.0,0
3.8,8.0,1300.0,0
4.5,0.4,975.0,1
4.6,2.7,50.0,1
8.1,1.2,1275.0,1
0.3,3.3,1500.0,1
3.7,4.4,1325.0,0
1.3,3.1,100.0,1
0.5,8.0,250.0,0
2.9,0.4,325.0,1
7.5,3.3,50.0,1
2.0,1.4,1175.0,1
6.7,3.6,1250.0,0
1.3,5.8,1350.0,1
5.5,0.5,300.0,1
1.5,5.7,125.0,1
0.4,2.9,850.0,1
6.2,7.5,1375.0,0
0.5,8.1,1425.0,1
6.8,0.4,800.0,1
0.8,0.8,75.0,0
0.2,0.1,1200.0,0
4.8,2.4,1200.0,1
1.9,4.0,1075.0,0
5.4,5.7,1350.0,0
0.2,4.9,1800.0,0
