Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
2.0,0.6,0
2.4,8.1,0
8.0,1.4,1
1.5,4.4,1
5.0,1.1,0
1.1,2.4,1
2.0,6.2,0
3.5,0.9,1
