Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_100_2_(mM),Phase,Barcode
2.0,0.6,-1,103110VCNKD9
2.4,8.1,-1,721759SOGCEP
8.0,1.4,-1,737333CY95XH
1.5,4.4,-1,313999612GO6
5.0,1.1,-1,073519KZCET0
1.1,2.4,-1,357251BBU7YM
2.0,6.2,-1,251929LGY9R3
3.5,0.9,-1,005757E1KJOF
