Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
8.1,7.0,-1,110016BVDFMF
0.4,0.1,-1,4006913RYUQS
6.8,0.7,-1,1117319ZVC2R
2.4,5.6,-1,064443IDQFE7
4.8,8.1,-1,661146ICS120
3.5,1.1,-1,16091742NA9G
1.6,3.0,-1,744449PDK4F3
2.9,7.5,-1,319111N1OA1H
