Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
1.0,6.5,-1,771828XY6J5F
8.1,0.7,-1,88899922AU1F
1.9,0.4,-1,2488726TVXWW
0.1,3.2,-1,422229IVT17L
5.0,1.0,-1,891882OTEPHR
2.1,8.1,-1,898282SBXL3R
0.2,1.3,-1,187178P4HGM3
0.7,4.8,-1,2121273VG8HZ
